School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced
South Middlesex Regional Vocational Technical: Joseph P Keefe Technical High School,08290605,Public School,Framingham,MA,01702,"09,10,11,12",South Middlesex Regional Vocational Technical,08290000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     214,     220,     190,     175,       0,     799,     295,36.9,     132,16.5,     340,42.6,     619,77.5,     368,46.1,5.9,0.9,43.4,44.4,2.0,0.0,3.4,59.6,40.4,0.0,     496,13.9,        780,81.1,92.6,   9.9 to 1,82.6,79.0,92.7,"      $6,998,134","  $86,290",     81.1,      93,      92,  98.9,   1.1,  88.0,  10.9,   0.0,"          $20,219,304.85",             792.9,"              $25,500.45","          $20,224,304.85",             793.9,"              $25,474.63",173.0,96.0,1.2,0.0,0.6,2.3,0.0,     799,6.0,0.8,168.0,65.0,38.7,0.0,26.2,32.3,41.5,30.8,23.1,13.8,168.0,162.0,96.4,      59,      92,35.0,18.0,3.0,3.0,0.0,21.0,23.0,22.0,18.0,8.0,47.8,52.2,43.0,494.0,478.0,         353,         238,67.4
South Shore Charter Public (District): South Shore Charter Public School,04880550,Charter School,Norwell,MA,02061,"K,01,02,03,04,05,06,07,08,09,10,11,12",South Shore Charter Public (District),04880000,Charter District,       0,      75,      82,      80,      79,      61,      80,      81,      78,      80,      86,      71,      79,      69,       0,"   1,001",     410,41.0,     149,14.9,     191,19.1,     507,50.6,     211,21.1,32.2,5.6,4.1,49.3,0.3,0.2,8.4,51.7,48.0,0.3,     505,17.9,"      1,003",91.7,83.3,  10.9 to 1,64.9,81.4,67.9,"      $6,707,499","  $72,005",     93.2,,,,,,,,"          $16,898,907.51","           1,002.7","              $16,854.08","          $16,898,907.51","           1,002.7","              $16,854.08",72.0,97.2,1.4,0.0,0.0,1.4,0.0,     305,1.0,0.3,71.0,52.0,73.2,0.0,40.4,9.6,50.0,9.6,25.0,15.4,71.0,59.0,83.1,      60,      98,23.0,36.0,1.0,0.0,0.0,20.0,31.0,21.0,20.0,6.0,52.0,48.0,25.0,522.0,492.0,         149,         110,73.8
South Shore Regional Vocational Technical: South Shore Vocational Technical High,08730605,Public School,Hanover,MA,02339,"09,10,11,12",South Shore Regional Vocational Technical,08730000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     171,     167,     156,     144,       0,     638,       8,1.3,       3,0.5,     185,29.0,     301,47.2,     157,24.6,1.7,1.1,5.2,89.3,0.3,0.0,2.4,68.8,31.2,0.0,     415,15.6,        636,63.7,95.3,  10.0 to 1,81.2,73.3,87.5,"      $5,379,145","  $84,445",     63.7,      69,      69, 100.0,   4.3,  89.9,   5.8,   0.0,"          $13,588,068.61",             635.3,"              $21,388.43","          $13,588,068.61",             635.3,"              $21,388.43",145.0,95.9,2.1,0.0,0.0,2.1,0.0,     638,4.0,0.6,142.0,42.0,29.6,0.0,21.4,31.0,47.6,31.0,23.8,19.0,142.0,142.0,100.0,       7,,,,,,,,,,,,,,45.0,502.0,512.0,         300,         134,44.7
Southampton: William E Norris,02750005,Public School,Southampton,MA,01073,"PK,K,01,02,03,04,05,06",Southampton,02750000,Public School District,      43,      60,      63,      59,      75,      61,      58,      73,       0,       0,       0,       0,       0,       0,       0,     492,      11,2.2,       9,1.8,      89,18.1,     141,28.7,      66,13.4,0.2,1.6,4.7,89.8,0.2,0.0,3.5,49.4,50.6,0.0,     178,17.7,        489,38.4,100.0,  12.8 to 1,94.8,100.0,100.0,"      $2,880,053","  $75,001",     38.4,      48,       0,   0.0,-,-,-,-,"           $6,165,577.82",             492.0,"              $12,531.66","           $7,387,668.12",             560.5,"              $13,180.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southborough: Albert S. Woodward Memorial School,02760050,Public School,Southborough,MA,01772,"02,03",Southborough,02760000,Public School District,       0,       0,       0,     138,     120,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     258,      32,12.4,      21,8.1,      32,12.4,      69,26.7,      17,6.6,0.4,20.5,3.5,67.8,0.4,0.0,7.4,49.2,50.8,0.0,      63,17.4,        259,19.4,100.0,  13.3 to 1,94.8,100.0,100.0,"     $10,661,889"," $100,869",    105.7,      26,      24,  92.3,-,-,-,-,"          $24,806,419.22","           1,280.0","              $19,380.02","          $26,812,214.85","           1,296.4","              $20,682.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southborough: Margaret A Neary,02760020,Public School,Southborough,MA,01772,"04,05",Southborough,02760000,Public School District,       0,       0,       0,       0,       0,     135,     133,       0,       0,       0,       0,       0,       0,       0,       0,     268,      24,9.0,       9,3.4,      35,13.1,      64,23.9,      12,4.5,1.5,18.3,4.5,68.7,0.0,0.0,7.1,52.2,47.8,0.0,      60,20.8,        269,19.6,100.0,  13.7 to 1,89.8,100.0,100.0,"     $10,661,889"," $100,869",    105.7,      25,      25, 100.0,-,-,-,-,"          $24,806,419.22","           1,280.0","              $19,380.02","          $26,812,214.85","           1,296.4","              $20,682.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southborough: Mary E Finn School,02760008,Public School,Southborough,MA,01772,"PK,K,01",Southborough,02760000,Public School District,      82,     140,     117,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     339,      85,25.1,      42,12.4,      59,17.4,     101,29.8,      18,5.3,2.4,20.9,5.0,67.0,0.9,0.6,3.2,56.3,43.7,0.0,      70,16.8,        373,26.0,100.0,  13.0 to 1,95.0,98.8,100.0,"     $10,661,889"," $100,869",    105.7,      33,      31,  93.9,   6.5,  93.5,   0.0,   0.0,"          $24,806,419.22","           1,280.0","              $19,380.02","          $26,812,214.85","           1,296.4","              $20,682.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southborough: P Brent Trottier,02760305,Public School,Southborough,MA,01772,"06,07,08",Southborough,02760000,Public School District,       0,       0,       0,       0,       0,       0,       0,     128,     134,     153,       0,       0,       0,       0,       0,     415,      58,14.0,      14,3.4,      61,14.7,     110,26.5,      31,7.5,0.7,17.1,7.7,68.9,0.0,0.0,5.5,52.3,47.7,0.0,     315,13.4,        414,40.7,100.0,  10.2 to 1,98.4,97.5,87.2,"     $10,661,889"," $100,869",    105.7,      53,      47,  88.7,-,-,-,-,"          $24,806,419.22","           1,280.0","              $19,380.02","          $26,812,214.85","           1,296.4","              $20,682.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southbridge: Charlton Street,02770005,Public School,Southbridge,MA,01550,"PK,K,01,02,03,04,05",Southbridge,02770000,Public School District,       0,       1,       1,      76,      66,      69,      60,       0,       0,       0,       0,       0,       0,       0,       0,     273,     103,37.7,      57,20.9,      55,20.1,     230,84.2,     203,74.4,2.9,0.7,59.3,35.2,0.4,0.0,1.5,49.1,50.9,0.0,     144,17.1,        274,26.0,96.2,  10.5 to 1,73.1,80.8,100.0,"     $11,215,546","  $69,792",    160.7,      34,      30,  88.2,  10.0,  76.7,  13.3,   0.0,"          $34,807,532.38","           1,892.6","              $18,391.38","          $40,838,915.82","           2,265.3","              $18,028.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southbridge: Eastford Road,02770010,Public School,Southbridge,MA,01550,"PK,K,01",Southbridge,02770000,Public School District,      68,     167,     129,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     364,      96,26.4,      22,6.0,      61,16.8,     286,78.6,     268,73.6,0.8,1.9,62.1,33.5,0.3,0.3,1.1,49.5,50.5,0.0,      86,19.3,        391,24.0,83.3,  15.2 to 1,58.3,91.7,84.6,"     $11,215,546","  $69,792",    160.7,      29,      28,  96.6,   0.0,  92.9,   3.6,   3.6,"          $34,807,532.38","           1,892.6","              $18,391.38","          $40,838,915.82","           2,265.3","              $18,028.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southbridge: Southbridge Academy,02770525,Public School,Southbridge,MA,01550,"06,07,08,09,10,11,12",Southbridge,02770000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       9,      17,       4,       1,       0,      31,       8,25.8,       5,16.1,      25,80.6,      31,100.0,      29,93.5,0.0,0.0,51.6,38.7,0.0,0.0,9.7,67.7,32.3,0.0,      59,7.9,         40,8.0,100.0,   3.9 to 1,37.5,75.0,75.0,"     $11,215,546","  $69,792",    160.7,      13,      12,  92.3,-,-,-,-,"          $34,807,532.38","           1,892.6","              $18,391.38","          $40,838,915.82","           2,265.3","              $18,028.04",,,,,,,,      31,8.0,25.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           8,           0,0.0
Southbridge: Southbridge High School,02770515,Public School,Southbridge,MA,01550,"09,10,11,12",Southbridge,02770000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     142,     112,      96,      99,       2,     451,     170,37.7,      93,20.6,      87,19.3,     355,78.7,     309,68.5,1.8,1.3,63.4,31.9,0.2,0.2,1.1,53.7,46.3,0.0,     164,19.0,        457,32.5,92.3,  13.9 to 1,67.0,78.4,80.5,"     $11,215,546","  $69,792",    160.7,      48,      43,  89.6,   0.0,  81.4,  14.0,   4.7,"          $34,807,532.38","           1,892.6","              $18,391.38","          $40,838,915.82","           2,265.3","              $18,028.04",119.0,62.2,14.3,11.8,0.8,10.9,0.0,     449,20.0,4.5,76.0,29.0,38.2,0.0,37.9,51.7,10.3,48.3,10.3,0.0,76.0,76.0,100.0,      47,      82,22.0,18.0,4.0,3.0,0.0,32.0,27.0,16.0,6.0,1.0,72.0,28.0,31.0,436.0,433.0,         190,         126,66.3
Southbridge: Southbridge Middle School,02770315,Public School,Southbridge,MA,01550,"06,07,08",Southbridge,02770000,Public School District,       0,       0,       0,       0,       0,       0,       0,     160,     153,     159,       0,       0,       0,       0,       0,     472,     151,32.0,     105,22.2,      83,17.6,     371,78.6,     332,70.3,2.8,2.1,55.5,36.7,0.2,0.0,2.8,51.7,48.3,0.0,     218,20.7,        499,42.2,97.6,  11.2 to 1,43.2,69.2,78.7,"     $11,215,546","  $69,792",    160.7,      58,      50,  86.2,   2.0,  90.0,   6.0,   2.0,"          $34,807,532.38","           1,892.6","              $18,391.38","          $40,838,915.82","           2,265.3","              $18,028.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southbridge: West Street,02770020,Public School,Southbridge,MA,01550,"01,02,03,04,05",Southbridge,02770000,Public School District,       0,       0,       0,      82,      91,      66,      77,       0,       0,       0,       0,       0,       0,       0,       0,     316,     121,38.3,      64,20.3,      57,18.0,     258,81.6,     224,70.9,1.3,0.6,60.8,36.4,0.0,0.0,0.9,50.3,49.7,0.0,     179,16.4,        312,28.0,96.4,  11.3 to 1,64.3,89.3,90.9,"     $11,215,546","  $69,792",    160.7,      38,      36,  94.7,   2.8,  88.9,   8.3,   0.0,"          $34,807,532.38","           1,892.6","              $18,391.38","          $40,838,915.82","           2,265.3","              $18,028.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeastern Regional Vocational Technical: Southeastern Regional Vocational Technical,08720605,Public School,South Easton,MA,02375,"09,10,11,12",Southeastern Regional Vocational Technical,08720000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     388,     367,     370,     333,       0,"   1,458",     327,22.4,      32,2.2,     203,13.9,     702,48.1,     483,33.1,34.5,1.5,12.8,45.1,0.0,0.0,6.1,48.8,51.2,0.1,     807,15.5,"      1,445",122.3,97.5,  11.9 to 1,87.7,86.5,89.4,"     $11,763,043","  $85,674",    137.3,     143,     143, 100.0,  23.1,  72.7,   4.2,   0.0,"          $32,503,044.00","           1,504.5","              $21,603.88","          $32,524,911.00","           1,506.5","              $21,589.72",339.0,97.6,1.5,0.0,0.0,0.9,0.0,"   1,458",4.0,0.3,333.0,170.0,51.1,0.0,34.1,31.2,34.7,30.0,18.2,12.4,333.0,333.0,100.0,     126,     171,91.0,26.0,8.0,1.0,0.0,46.0,59.0,38.0,24.0,4.0,61.4,38.6,125.0,494.0,483.0,         697,         619,88.8
Southern Berkshire: Mt Everett Regional,07650505,Public School,Sheffield,MA,01257,"06,07,08,09,10,11,12",Southern Berkshire,07650000,Public School District,       0,       0,       0,       0,       0,       0,       0,      39,      54,      40,      55,      49,      50,      57,       0,     344,      14,4.1,       4,1.2,      79,23.0,     164,47.7,     114,33.1,1.7,0.0,6.7,85.5,0.9,0.0,5.2,49.1,50.6,0.3,     271,11.4,        349,42.9,99.5,   8.0 to 1,86.0,93.0,87.8,"      $5,687,917","  $73,965",     76.9,      57,      57, 100.0,  43.9,  56.1,   0.0,   0.0,"          $16,876,438.10",             669.3,"              $25,215.06","          $18,022,413.98",             794.1,"              $22,695.40",61.0,91.8,0.0,0.0,3.3,4.9,0.0,     211,1.0,0.5,55.0,25.0,45.5,0.0,52.0,20.0,28.0,16.0,8.0,0.0,55.0,1.0,1.8,      27,      40,16.0,9.0,2.0,0.0,0.0,4.0,11.0,17.0,5.0,3.0,37.5,62.5,17.0,582.0,533.0,         107,          58,54.2
Southern Berkshire: New Marlborough Central,07650018,Public School,Sheffield,MA,01257,"PK,K,01,02,03",Southern Berkshire,07650000,Public School District,      17,      10,      15,       5,      18,      12,       0,       0,       0,       0,       0,       0,       0,       0,       0,      77,       0,0.0,       0,0.0,       4,5.2,      23,29.9,      19,24.7,0.0,0.0,10.4,81.8,2.6,0.0,5.2,51.9,48.1,0.0,      68,11.8,         74,6.9,100.0,  11.2 to 1,100.0,95.7,100.0,"      $5,687,917","  $73,965",     76.9,      13,      13, 100.0,  23.1,  76.9,   0.0,   0.0,"          $16,876,438.10",             669.3,"              $25,215.06","          $18,022,413.98",             794.1,"              $22,695.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Berkshire: South Egremont,07650030,Public School,Sheffield,MA,01257,K,Southern Berkshire,07650000,Public School District,       0,      10,       1,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      11,       1,9.1,       0,0.0,       0,0.0,       0,0.0,       0,0.0,0.0,9.1,9.1,81.8,0.0,0.0,0.0,45.5,54.5,0.0,      11,9.0,          9,1.4,100.0,   7.9 to 1,28.6,21.4,100.0,"      $5,687,917","  $73,965",     76.9,       7,       7, 100.0,-,-,-,-,"          $16,876,438.10",             669.3,"              $25,215.06","          $18,022,413.98",             794.1,"              $22,695.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Berkshire: Undermountain,07650035,Public School,Sheffield,MA,01257,"PK,K,01,02,03,04,05",Southern Berkshire,07650000,Public School District,      34,      28,      30,      28,      37,      42,      44,       0,       0,       0,       0,       0,       0,       0,       0,     243,      16,6.6,      10,4.1,      34,14.0,     121,49.8,      93,38.3,1.2,0.0,9.9,85.2,0.4,0.0,3.3,53.5,46.5,0.0,     170,15.8,        247,25.7,100.0,   9.5 to 1,96.1,97.3,100.0,"      $5,687,917","  $73,965",     76.9,      35,      35, 100.0,  34.3,  65.7,   0.0,   0.0,"          $16,876,438.10",             669.3,"              $25,215.06","          $18,022,413.98",             794.1,"              $22,695.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Worcester County Regional Vocational School District: Bay Path Regional Vocational Technical High School,08760605,Public School,Charlton,MA,01507,"09,10,11,12",Southern Worcester County Regional Vocational School District,08760000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     315,     302,     278,     250,       0,"   1,145",      28,2.4,       5,0.4,     165,14.4,     369,32.2,     255,22.3,1.0,0.6,10.7,86.4,0.2,0.0,1.1,58.3,41.7,0.0,     986,14.0,"      1,152",112.0,96.4,  10.2 to 1,84.8,86.6,99.1,"      $8,936,350","  $79,789",    112.0,     128,     127,  99.2,  10.2,  86.6,   3.1,   0.0,"          $21,771,007.39","           1,136.6","              $19,154.50","          $21,956,488.39","           1,169.6","              $18,772.65",251.0,96.0,3.2,0.0,0.0,0.8,0.0,"   1,145",1.0,0.1,248.0,107.0,43.1,0.0,36.4,26.2,37.4,24.3,22.4,9.3,248.0,248.0,100.0,     112,     185,67.0,20.0,22.0,3.0,0.0,29.0,46.0,46.0,46.0,18.0,40.5,59.5,67.0,520.0,512.0,         528,         328,62.1
Southwick-Tolland-Granville Regional School District: Powder Mill School,07660315,Public School,Southwick,MA,01077,"03,04,05,06",Southwick-Tolland-Granville Regional School District,07660000,Public School District,       0,       0,       0,       0,     108,     112,     127,     121,       0,       0,       0,       0,       0,       0,       0,     468,      29,6.2,      23,4.9,      74,15.8,     190,40.6,     141,30.1,2.4,0.6,4.7,89.1,0.2,0.0,3.0,50.4,49.6,0.0,     198,21.8,        473,34.2,100.0,  13.7 to 1,82.5,97.1,97.1,"      $8,645,780","  $67,810",    127.5,      45,      45, 100.0,  24.4,  73.3,   2.2,   0.0,"          $22,982,747.31","           1,497.1","              $15,351.51","          $25,448,926.85","           1,595.2","              $15,953.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwick-Tolland-Granville Regional School District: Southwick Regional School,07660505,Public School,Southwick,MA,01077,"07,08,09,10,11,12",Southwick-Tolland-Granville Regional School District,07660000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     120,     114,      99,     121,     107,     113,       2,     676,      23,3.4,      10,1.5,     115,17.0,     215,31.8,     138,20.4,1.5,0.9,3.4,92.6,0.3,0.0,1.3,49.9,50.1,0.0,     407,13.5,        678,61.8,100.0,  10.9 to 1,96.8,97.1,94.0,"      $8,645,780","  $67,810",    127.5,      81,      78,  96.3,   9.0,  89.7,   1.3,   0.0,"          $22,982,747.31","           1,497.1","              $15,351.51","          $25,448,926.85","           1,595.2","              $15,953.44",116.0,96.6,0.0,0.0,0.0,3.4,0.0,     440,2.0,0.5,114.0,76.0,66.7,0.0,34.2,22.4,43.4,22.4,25.0,5.3,114.0,114.0,100.0,      73,     113,50.0,11.0,8.0,3.0,1.0,20.0,27.0,28.0,27.0,11.0,41.6,58.4,59.0,543.0,521.0,         217,          88,40.6
Southwick-Tolland-Granville Regional School District: Woodland School,07660010,Public School,Southwick,MA,01077,"PK,K,01,02",Southwick-Tolland-Granville Regional School District,07660000,Public School District,      51,      92,     111,      88,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     342,      26,7.6,      21,6.1,      53,15.5,     137,40.1,     101,29.5,2.0,0.9,5.3,88.9,0.9,0.0,2.0,54.1,45.9,0.0,     175,16.2,        351,31.5,100.0,  10.9 to 1,88.9,96.8,100.0,"      $8,645,780","  $67,810",    127.5,      39,      39, 100.0,  35.9,  59.0,   5.1,   0.0,"          $22,982,747.31","           1,497.1","              $15,351.51","          $25,448,926.85","           1,595.2","              $15,953.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer-E Brookfield: David Prouty High,07670505,Public School,Spencer,MA,01562,"09,10,11,12",Spencer-E Brookfield,07670000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      75,      63,      64,      59,       0,     261,      15,5.7,       7,2.7,      49,18.8,     121,46.4,      95,36.4,3.4,2.7,12.6,78.9,0.8,0.0,1.5,52.9,47.1,0.0,     246,13.2,        280,29.6,98.6,   8.8 to 1,85.1,83.1,80.6,"      $7,632,170","  $68,084",    112.1,      37,      37, 100.0,-,-,-,-,"          $22,347,140.22","           1,395.6","              $16,012.57","          $27,842,532.58","           1,662.5","              $16,747.39",67.0,82.1,11.9,0.0,0.0,6.0,0.0,     261,8.0,3.1,60.0,35.0,58.3,0.0,25.7,31.4,42.9,31.4,28.6,5.7,60.0,60.0,100.0,      42,      70,25.0,11.0,3.0,1.0,2.0,14.0,23.0,20.0,9.0,4.0,52.9,47.1,16.0,529.0,521.0,         130,         101,77.7
Spencer-E Brookfield: East Brookfield Elementary,07670008,Public School,East Brookfield,MA,01515,"PK,K,01,02,03,04,05,06",Spencer-E Brookfield,07670000,Public School District,      80,      26,      19,      23,      23,      24,      17,      28,       0,       0,       0,       0,       0,       0,       0,     240,       6,2.5,       6,2.5,      52,21.7,      99,41.3,      70,29.2,1.7,0.0,7.9,85.8,0.0,0.0,4.6,50.4,49.6,0.0,      65,18.8,        256,19.2,100.0,  12.5 to 1,94.8,94.8,100.0,"      $7,632,170","  $68,084",    112.1,      25,      25, 100.0,  12.0,  84.0,   4.0,   0.0,"          $22,347,140.22","           1,395.6","              $16,012.57","          $27,842,532.58","           1,662.5","              $16,747.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer-E Brookfield: Knox Trail Middle School,07670415,Public School,Spencer,MA,01562,"05,06,07,08",Spencer-E Brookfield,07670000,Public School District,       0,       0,       0,       0,       0,       0,      89,     114,     112,     123,       0,       0,       0,       0,       0,     438,      21,4.8,      11,2.5,      94,21.5,     219,50.0,     174,39.7,2.7,1.6,12.6,79.2,0.2,0.0,3.7,53.9,46.1,0.0,     188,18.2,        458,31.6,100.0,  13.9 to 1,88.4,93.7,97.1,"      $7,632,170","  $68,084",    112.1,      39,      39, 100.0,   5.1,  92.3,   2.6,   0.0,"          $22,347,140.22","           1,395.6","              $16,012.57","          $27,842,532.58","           1,662.5","              $16,747.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer-E Brookfield: Wire Village School,07670040,Public School,Spencer,MA,01562,"K,01,02,03,04",Spencer-E Brookfield,07670000,Public School District,       0,      90,      75,      97,     109,      70,       0,       0,       0,       0,       0,       0,       0,       0,       0,     441,      30,6.8,      23,5.2,      91,20.6,     235,53.3,     176,39.9,2.5,0.2,17.0,76.0,0.0,0.0,4.3,54.0,45.8,0.2,      92,19.4,        446,31.7,100.0,  13.9 to 1,87.2,96.8,100.0,"      $7,632,170","  $68,084",    112.1,      45,      45, 100.0,-,-,-,-,"          $22,347,140.22","           1,395.6","              $16,012.57","          $27,842,532.58","           1,662.5","              $16,747.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield: Alfred G. Zanetti Montessori Magnet School,02810095,Public School,Springfield,MA,01104,"PK,K,01,02,03,04,05,06,07,08",Springfield,02810000,Public School District,      74,      48,      40,      45,      49,      34,      45,      38,      29,      30,       0,       0,       0,       0,       0,     432,      37,8.6,      20,4.6,      41,9.5,     186,43.1,     154,35.6,21.5,0.0,53.2,20.8,0.2,0.0,4.2,44.0,56.0,0.0,     228,17.6,        427,32.0,100.0,  13.5 to 1,93.8,96.9,96.9,"    $144,557,274","  $70,854","  2,040.2",      39,      38,  97.4,   7.9,  92.1,   0.0,   0.0,"         $427,810,982.98","          24,906.3","              $17,176.82","         $512,527,010.24","          30,269.5","              $16,932.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield: Alice B Beal Elementary,02810175,Public School,Springfield,MA,01108,"PK,K,01,02,03,04,05",Springfield,02810000,Public School District,       0,      38,      52,      40,      46,      40,      40,       0,       0,       0,       0,       0,       0,       0,       0,     256,      78,30.5,      52,20.3,      36,14.1,     199,77.7,     181,70.7,19.1,11.7,55.5,10.5,0.0,0.0,3.1,46.9,53.1,0.0,     168,20.1,        263,20.0,100.0,  12.8 to 1,85.2,100.0,100.0,"    $144,557,274","  $70,854","  2,040.2",      24,      24, 100.0,-,-,-,-,"         $427,810,982.98","          24,906.3","              $17,176.82","         $512,527,010.24","          30,269.5","              $16,932.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield: Arthur T Talmadge,02810165,Public School,Springfield,MA,01118,"PK,K,01,02,03,04,05",Springfield,02810000,Public School District,       0,      40,      34,      42,      39,      43,      35,       0,       0,       0,       0,       0,       0,       0,       0,     233,      35,15.0,      16,6.9,      64,27.5,     200,85.8,     194,83.3,25.8,0.9,57.9,12.0,0.0,0.0,3.4,53.6,46.4,0.0,     180,16.8,        242,21.0,95.2,  11.1 to 1,66.7,95.2,40.9,"    $144,557,274","  $70,854","  2,040.2",      27,      27, 100.0,   7.4,  85.2,   7.4,   0.0,"         $427,810,982.98","          24,906.3","              $17,176.82","         $512,527,010.24","          30,269.5","              $16,932.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield: Balliet Preschool,02810003,Public School,Springfield,MA,01109,PK,Springfield,02810000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $144,557,274","  $70,854","  2,040.2",,,,,,,,"         $427,810,982.98","          24,906.3","              $17,176.82","         $512,527,010.24","          30,269.5","              $16,932.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield: Brightwood,02810025,Public School,Springfield,MA,01107,"PK,K,01,02,03,04,05",Springfield,02810000,Public School District,      40,      62,      59,      52,      43,      55,      46,       0,       0,       0,       0,       0,       0,       0,       0,     357,     124,34.7,      93,26.1,      95,26.6,     337,94.4,     321,89.9,16.5,0.0,79.6,3.1,0.0,0.0,0.8,50.1,49.9,0.0,     187,21.9,        377,26.0,96.2,  13.7 to 1,61.5,92.3,53.8,"    $144,557,274","  $70,854","  2,040.2",      31,      31, 100.0,  16.1,  83.9,   0.0,   0.0,"         $427,810,982.98","          24,906.3","              $17,176.82","         $512,527,010.24","          30,269.5","              $16,932.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
