School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Revere: Staff Sargent James J. Hill Elementary School,02480035,Public School,Revere,MA,02151,"K,01,02,03,04,05",Revere,02480000,Public School District,       0,      77,      76,      78,      65,      92,      82,       0,       0,       0,       0,       0,       0,       0,0.0,     470,     284,  60.4,      97,  20.6,      45,   9.6,     396,  84.3, , , , ,   4.3,   5.3,  58.1,  30.4,   0.9,   0.0,   1.1,  51.5,  48.5,     135,24.7,        473,28.9,100.0,     169,100.0,16.3,"     $33,172,071","  $74,594",    444.7,"          $79,321,317.99","           6,326.6","              $12,537.75","          $87,786,973.64","           6,577.3","              $13,346.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revere: Susan B. Anthony Middle School,02480305,Public School,Revere,MA,02151,"06,07,08",Revere,02480000,Public School District,       0,       0,       0,       0,       0,       0,       0,     155,     156,     133,       0,       0,       0,       0,0.0,     444,     181,  40.8,      34,   7.7,      63,  14.2,     313,  70.5, , , , ,   5.0,   3.4,  38.1,  49.3,   0.7,   0.0,   3.6,  42.1,  57.9,     194,21.8,        444,34.8,100.0,     153,100.0,12.8,"     $33,172,071","  $74,594",    444.7,"          $79,321,317.99","           6,326.6","              $12,537.75","          $87,786,973.64","           6,577.3","              $13,346.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond: Richmond Consolidated,02490005,Public School,Richmond,MA,01254,"PK,K,01,02,03,04,05,06,07,08",Richmond,02490000,Public School District,       8,      16,      13,      20,      22,      15,       8,      25,      23,      16,       0,       0,       0,       0,0.0,     166,       5,   3.0,       0,   0.0,      17,  10.2,      22,  13.3, , , , ,   0.6,   3.0,   3.6,  91.6,   0.6,   0.0,   0.6,  46.4,  53.6,      92,15.8,        165,19.9,100.0,      93,100.0,8.3,"      $1,757,966","  $88,340",     19.9,"           $3,105,896.00",             164.6,"              $18,869.36","           $3,986,118.00",             249.9,"              $15,950.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rising Tide Charter Public (District): Rising Tide Charter Public School,04830305,Charter School,Plymouth,MA,02360,"05,06,07,08,09,10,11,12",Rising Tide Charter Public (District),04830000,Charter District,       0,       0,       0,       0,       0,       0,      85,      83,      81,      68,       0,       0,       0,       0,0.0,     317,       6,   1.9,       0,   0.0,      46,  14.5,      34,  10.7, , , , ,   1.3,   1.6,   2.5,  89.6,   0.0,   0.0,   5.0,  50.8,  49.2,     150,18.5,        312,24.8,71.7,     104,100.0,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Valley Charter (District): River Valley Charter School,04820050,Charter School,Newburyport,MA,01950,"K,01,02,03,04,05,06,07,08",River Valley Charter (District),04820000,Charter District,       0,      32,      33,      33,      33,      33,      33,      34,      29,      28,       0,       0,       0,       0,0.0,     288,       2,   0.7,       0,   0.0,      49,  17.0,       0,   0.0, , , , ,   0.7,   2.4,   3.8,  88.9,   0.0,   0.0,   4.2,  45.1,  54.9,      76,18.0,        286,17.1,73.0,      98,100.0,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester: Rochester Memorial,02500005,Public School,Rochester,MA,02770,"PK,K,01,02,03,04,05,06",Rochester,02500000,Public School District,      23,      47,      74,      78,      78,      88,      76,      79,       0,       0,       0,       0,       0,       0,0.0,     543,       4,   0.7,       3,   0.6,      75,  13.8,      33,   6.1, , , , ,   2.8,   0.4,   1.3,  93.7,   0.0,   0.0,   1.8,  54.1,  45.9,     227,18.9,        545,39.9,100.0,     206,100.0,13.6,"      $3,104,462","  $77,806",     39.9,"           $6,215,850.94",             553.5,"              $11,230.08","           $6,635,201.10",             572.3,"              $11,593.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland: Jefferson Elementary School,02510060,Public School,Rockland,MA,02370,"K,01,02,03,04",Rockland,02510000,Public School District,      68,      85,      40,      43,      44,      39,      43,       0,       0,       0,       0,       0,       0,       0,0.0,     362,      24,   6.6,      14,   3.9,      88,  24.3,     132,  36.5, , , , ,   3.0,   0.0,   6.9,  84.0,   0.0,   0.0,   6.1,  55.0,  45.0,      54,18.7,        362,16.1,100.0,      80,100.0,22.5,"      $9,632,790","  $73,421",    131.2,"          $27,389,570.00","           2,269.0","              $12,071.21","          $30,692,149.00","           2,380.1","              $12,895.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland: John W Rogers Middle,02510305,Public School,Rockland,MA,02370,"05,06,07,08",Rockland,02510000,Public School District,       0,       0,       0,       0,       0,       0,       0,     183,     179,     185,       0,       0,       0,       0,0.0,     547,      22,   4.0,       2,   0.4,      98,  17.9,     199,  36.4, , , , ,   4.0,   0.2,   6.0,  87.4,   0.0,   0.0,   2.4,  54.3,  45.7,     181,22.7,        552,37.0,94.6,     184,98.4,14.8,"      $9,632,790","  $73,421",    131.2,"          $27,389,570.00","           2,269.0","              $12,071.21","          $30,692,149.00","           2,380.1","              $12,895.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland: Memorial Park,02510020,Public School,Rockland,MA,02370,"K,01,02,03,04",Rockland,02510000,Public School District,       0,       0,      57,      56,      53,      63,      70,       0,       0,       0,       0,       0,       0,       0,0.0,     299,      17,   5.7,       5,   1.7,      50,  16.7,     126,  42.1, , , , ,   2.3,   1.0,   7.7,  86.6,   0.0,   0.0,   2.3,  54.2,  45.8,      62,19.3,        299,17.9,100.0,     104,100.0,16.7,"      $9,632,790","  $73,421",    131.2,"          $27,389,570.00","           2,269.0","              $12,071.21","          $30,692,149.00","           2,380.1","              $12,895.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland: R Stewart Esten,02510025,Public School,Rockland,MA,02370,"K,01,02,03,04",Rockland,02510000,Public School District,       0,      70,      83,      58,      96,      69,      80,       0,       0,       0,       0,       0,       0,       0,0.0,     456,      27,   5.9,      15,   3.3,      48,  10.5,     144,  31.6, , , , ,   7.0,   1.1,   6.4,  83.1,   0.0,   0.0,   2.4,  53.9,  46.1,      72,24.0,        458,21.0,100.0,     120,100.0,21.7,"      $9,632,790","  $73,421",    131.2,"          $27,389,570.00","           2,269.0","              $12,071.21","          $30,692,149.00","           2,380.1","              $12,895.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland: Rockland Senior High,02510505,Public School,Rockland,MA,02370,"PK,09,10,11,12",Rockland,02510000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     138,     148,     152,     153,5.0,     596,      17,   2.9,       5,   0.8,      75,  12.6,     210,  35.2, , , , ,   5.2,   0.5,   4.0,  86.7,   0.0,   0.0,   3.5,  49.3,  50.7,     272,17.2,        609,39.2,98.7,     220,99.5,15.2,"      $9,632,790","  $73,421",    131.2,"          $27,389,570.00","           2,269.0","              $12,071.21","          $30,692,149.00","           2,380.1","              $12,895.32",       160,83.8,3.8,0.6,1.3,10.6,0.0,     591,7.0,1.2,137.0,113.0,82.5,0.0,27.72,21.8625,32.834999999999994,21.2025,15.345000000000002,13.1175,60.55499999999999,137.0,137.0,100.0,70.0,     116,39.0,18.0,11.0,2.0,0.0,29.0,37.0,24.0,21.0,5.0,56.9,43.1,110.0,484.0,497.0
Rockport: Rockport Elementary,02520005,Public School,Rockport,MA,01966,"PK,K,01,02,03,04,05",Rockport,02520000,Public School District,       7,      54,      65,      64,      78,      63,      62,       0,       0,       0,       0,       0,       0,       0,0.0,     393,       5,   1.3,       1,   0.3,      58,  14.8,      25,   6.4, , , , ,   2.8,   0.3,   1.5,  94.4,   0.0,   0.3,   0.8,  52.4,  47.6,     121,18.7,        388,31.4,100.0,     145,100.0,12.5,"      $5,729,877","  $72,438",     79.1,"          $13,210,785.00",             941.0,"              $14,039.09","          $14,423,334.00",             986.7,"              $14,617.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockport: Rockport High,02520510,Public School,Rockport,MA,01966,"09,10,11,12",Rockport,02520000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      77,      79,      70,      79,0.0,     305,       8,   2.6,       2,   0.7,      63,  20.7,      31,  10.2, , , , ,   1.0,   1.6,   5.2,  88.9,   0.3,   0.0,   3.0,  49.8,  50.2,     152,14.3,        302,24.6,97.6,     189,96.8,12.4,"      $5,729,877","  $72,438",     79.1,"          $13,210,785.00",             941.0,"              $14,039.09","          $14,423,334.00",             986.7,"              $14,617.75",        78,91.0,2.6,0.0,3.8,2.6,0.0,     305,3.0,1.0,75.0,60.0,80.0,0.0,36.0,18.64,25.36,16.0,9.36,10.64,61.36,75.0,75.0,100.0,58.0,     103,30.0,16.0,8.0,3.0,1.0,17.0,26.0,39.0,16.0,5.0,41.7,58.3,60.0,519.0,508.0
Rockport: Rockport Middle,02520305,Public School,Rockport,MA,01966,"06,07,08",Rockport,02520000,Public School District,       0,       0,       0,       0,       0,       0,       0,      84,      81,      83,       0,       0,       0,       0,0.0,     248,       7,   2.8,       2,   0.8,      38,  15.3,      37,  14.9, , , , ,   0.8,   1.6,   2.0,  94.0,   0.0,   0.0,   1.6,  56.5,  43.5,     148,16.2,        245,23.2,100.0,     118,100.0,10.7,"      $5,729,877","  $72,438",     79.1,"          $13,210,785.00",             941.0,"              $14,039.09","          $14,423,334.00",             986.7,"              $14,617.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowe: Rowe Elementary,02530005,Public School,Rowe,MA,01367,"PK,K,01,02,03,04,05,06",Rowe,02530000,Public School District,       8,       6,       8,      13,       7,       9,       8,       7,       0,       0,       0,       0,       0,       0,0.0,      66,       0,   0.0,       0,   0.0,      11,  16.7,      18,  27.3, , , , ,   0.0,   0.0,   3.0,  92.4,   0.0,   0.0,   4.5,  37.9,  62.1,      60,9.0,         75,8.1,100.0,      43,100.0,8.2,"        $492,448","  $60,796",      8.1,"           $1,614,712.15",              64.5,"              $25,034.30","           $1,852,067.15",              88.5,"              $20,927.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxbury Preparatory Charter (District): Roxbury Preparatory Charter School,04840505,Charter School,Roxbury,MA,02120,"05,06,07,08,09,10,11,12",Roxbury Preparatory Charter (District),04840000,Charter District,       0,       0,       0,       0,       0,       0,       0,     100,      88,      69,       0,       0,       0,       0,0.0,     257,      92,  35.8,       5,   1.9,      43,  16.7,     189,  73.5, , , , ,  58.4,   0.0,  40.1,   0.0,   0.8,   0.0,   0.8,  45.1,  54.9,      77,23.4,        257,27.8,37.3,      66,100.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Bates,02580003,Public School,Salem,MA,01970,"PK,K,01,02,03,04,05",Salem,02580000,Public School District,       0,      57,      56,      58,      69,      49,      46,       0,       0,       0,       0,       0,       0,       0,0.0,     335,      26,   7.8,      17,   5.1,      71,  21.2,     200,  59.7, , , , ,   4.8,   2.1,  21.2,  69.3,   0.0,   0.0,   2.7,  48.4,  51.6,     222,13.8,        335,31.0,96.8,     206,100.0,10.8,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Bentley Academy Innovation School,02580010,Public School,Salem,MA,01970,"K,01,02,03,04,05",Salem,02580000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Carlton,02580015,Public School,Salem,MA,01970,"K,01,02,03,04,05",Salem,02580000,Public School District,       0,      35,      23,      48,      40,      26,      33,       0,       0,       0,       0,       0,       0,       0,0.0,     205,      48,  23.4,      33,  16.1,      69,  33.7,     148,  72.2, , , , ,   5.9,   2.0,  38.0,  50.2,   0.0,   0.0,   3.9,  43.9,  56.1,     146,12.8,        205,19.5,100.0,     131,100.0,10.5,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Collins Middle,02580305,Public School,Salem,MA,01970,"06,07,08",Salem,02580000,Public School District,       0,       0,       0,       0,       0,       0,       0,     185,     221,     253,       0,       0,       0,       0,0.0,     659,     146,  22.2,      44,   6.7,     157,  23.8,     389,  59.0, , , , ,   4.2,   3.3,  29.7,  59.6,   0.5,   0.0,   2.6,  47.6,  52.4,     329,13.4,        653,65.7,100.0,     385,100.0,10.0,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Horace Mann Laboratory,02580030,Public School,Salem,MA,01970,"PK,K,01,02,03,04,05",Salem,02580000,Public School District,       0,      51,      53,      53,      53,      49,      54,       0,       0,       0,       0,       0,       0,       0,0.0,     313,      57,  18.2,      42,  13.4,      65,  20.8,     162,  51.8, , , , ,  10.2,   1.0,  33.2,  50.8,   0.0,   0.0,   4.8,  47.0,  53.0,     182,15.5,        313,28.0,100.0,     161,100.0,11.2,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: New Liberty Innovation School,02580510,Public School,Salem,MA,01970,"09,10,11,12",Salem,02580000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Salem Early Childhood,02580001,Public School,Salem,MA,01970,"PK,K",Salem,02580000,Public School District,     116,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     116,       0,   0.0,       0,   0.0,      47,  40.5,      42,  36.2, , , , ,   3.4,   9.5,  21.6,  59.5,   0.0,   0.0,   6.0,  62.1,  37.9,      14,8.6,        116,7.0,100.0,      12,100.0,16.6,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Salem High,02580505,Public School,Salem,MA,01970,"09,10,11,12",Salem,02580000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     361,     326,     276,     264,4.0,"   1,231",     396,  32.2,     106,   8.6,     282,  22.9,     655,  53.2, , , , ,   5.0,   3.6,  34.0,  53.5,   0.1,   0.0,   4.0,  51.4,  48.6,     604,15.3,"      1,216",123.3,95.1,     488,98.8,10.0,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",       323,81.7,7.1,4.0,1.5,5.6,0.0,"   1,227",29.0,2.4,277.0,187.0,67.5,0.3375,18.0225,28.485,20.5875,28.1475,7.965,9.3825,38.61,277.0,195.0,70.4,155.0,     300,58.0,63.0,25.0,7.0,2.0,85.0,71.0,69.0,43.0,32.0,52.0,48.0,181.0,474.0,481.0
Salem: Salem Prep High School,02580515,Public School,Salem,MA,01970,"08,09,10,11,12",Salem,02580000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Saltonstall School,02580050,Public School,Salem,MA,01970,"K,01,02,03,04,05,06,07,08",Salem,02580000,Public School District,       0,      42,      44,      43,      45,      38,      51,      41,      36,      41,       0,       0,       0,       0,0.0,     381,      50,  13.1,      38,  10.0,      94,  24.7,     152,  39.9, , , , ,   3.9,   1.3,  17.8,  73.5,   0.0,   0.3,   3.1,  51.7,  48.3,     210,17.5,        381,31.1,100.0,     195,100.0,12.3,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Witchcraft Heights,02580070,Public School,Salem,MA,01970,"K,01,02,03,04,05",Salem,02580000,Public School District,       0,      92,      73,      82,      71,      73,      69,       0,       0,       0,       0,       0,       0,       0,0.0,     460,      68,  14.8,      48,  10.4,      88,  19.1,     169,  36.7, , , , ,   2.0,   6.5,  18.0,  68.9,   0.0,   0.0,   4.6,  56.1,  43.9,     282,14.7,        459,39.3,100.0,     272,100.0,11.7,"     $29,033,049","  $69,892",    415.4,"          $63,999,737.72","           4,532.8","              $14,119.25","          $72,048,673.80","           4,925.3","              $14,628.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem Academy Charter (District): Salem Academy Charter School,04850485,Charter School,Salem,MA,01970,"06,07,08,09,10,11,12",Salem Academy Charter (District),04850000,Charter District,       0,       0,       0,       0,       0,       0,       0,      55,      56,      54,      51,      35,      30,      28,0.0,     309,      66,  21.4,      13,   4.2,      66,  21.4,     130,  42.1, , , , ,  10.7,   3.6,  33.7,  52.1,   0.0,   0.0,   0.0,  46.6,  53.4,     165,16.0,        297,35.6,77.4,     164,100.0,8.7,,,,,,,,,,        31,87.1,6.5,3.2,0.0,3.2,0.0,     144,0.0,0.0,28.0,20.0,71.4,3.57,28.56,7.14,32.13,7.14,21.42,7.14,60.69,28.0,19.0,67.9,33.0,      71,12.0,9.0,7.0,5.0,0.0,16.0,25.0,16.0,7.0,7.0,57.7,42.3,29.0,497.0,492.0
Sandwich: Forestdale School,02610002,Public School,Sandwich,MA,02644,"PK,K,01,02",Sandwich,02610000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $15,462,024","  $64,939",    238.1,"          $36,729,628.00","           3,421.1","              $10,736.20","          $40,679,881.00","           3,565.2","              $11,410.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich: Oak Ridge,02610025,Public School,East Sandwich,MA,02537,"03,04,05,06",Sandwich,02610000,Public School District,       0,      83,      79,      75,      96,      71,      95,      91,      92,     120,       0,       0,       0,       0,0.0,     802,       0,   0.0,       0,   0.0,      67,   8.4,      19,   2.4, , , , ,   0.9,   2.6,   0.1,  96.4,   0.0,   0.0,   0.0,  50.6,  49.4,     225,20.2,        795,58.7,94.0,     252,94.4,13.7,"     $15,462,024","  $64,939",    238.1,"          $36,729,628.00","           3,421.1","              $10,736.20","          $40,679,881.00","           3,565.2","              $11,410.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich: Sandwich Middle High School,02610505,Public School,East Sandwich,MA,02537,"07,08,09,10,11,12",Sandwich,02610000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     237,     282,     262,     236,0.0,"   1,017",       3,   0.3,       1,   0.1,     147,  14.5,     106,  10.4, , , , ,   0.9,   1.3,   0.4,  97.4,   0.0,   0.0,   0.0,  48.0,  52.0,     257,19.0,"      1,002",70.1,98.6,     343,98.3,14.5,"     $15,462,024","  $64,939",    238.1,"          $36,729,628.00","           3,421.1","              $10,736.20","          $40,679,881.00","           3,565.2","              $11,410.27",       232,94.4,1.7,0.4,1.3,2.2,0.0,"   1,017",5.0,0.5,222.0,186.0,83.8,0.0,33.7714,17.598,32.4306,15.7544,9.4694,8.5476,66.202,222.0,222.0,100.0,195.0,     254,139.0,53.0,3.0,0.0,0.0,26.0,40.0,79.0,67.0,42.0,26.0,74.0,191.0,527.0,538.0
Saugus: Belmonte STEAM Academy,02620060,Public School,Saugus,MA,01906,"02,03,04,05",Saugus,02620000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,684,202","  $65,695",    208.3,"          $34,427,804.00","           2,881.4","              $11,948.29","          $38,796,060.00","           3,045.2","              $12,740.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saugus: Saugus High,02620505,Public School,Saugus,MA,01906,"09,10,11,12",Saugus,02620000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     172,     169,     196,     188,2.0,     727,      59,   8.1,      11,   1.5,      95,  13.1,     110,  15.1, , , , ,   3.4,   3.7,   6.5,  85.0,   0.3,   0.0,   1.1,  48.0,  52.0,     290,17.7,        740,58.7,98.3,     265,99.6,12.4,"     $13,684,202","  $65,695",    208.3,"          $34,427,804.00","           2,881.4","              $11,948.29","          $38,796,060.00","           3,045.2","              $12,740.07",       217,81.6,4.6,0.5,5.1,8.3,0.0,     725,35.0,4.8,178.0,138.0,77.5,0.0,21.3125,23.0175,33.17,23.0175,12.9425,11.78,54.4825,178.0,0.0,0.0,75.0,     106,52.0,15.0,8.0,0.0,0.0,18.0,24.0,24.0,21.0,19.0,39.6,60.4,145.0,483.0,509.0
Saugus: Saugus Middle School,02620305,Public School,Saugus,MA,01906,"06,07,08",Saugus,02620000,Public School District,       0,       0,       0,       0,       0,       0,       0,     237,     231,     241,       0,       0,       0,       0,0.0,     709,      65,   9.2,       7,   1.0,      86,  12.1,     159,  22.4, , , , ,   3.2,   3.2,   8.6,  83.4,   0.1,   0.1,   1.3,  51.5,  48.5,     327,20.8,        709,53.6,100.0,     290,100.0,13.2,"     $13,684,202","  $65,695",    208.3,"          $34,427,804.00","           2,881.4","              $11,948.29","          $38,796,060.00","           3,045.2","              $12,740.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saugus: Veterans Early Learning Center,02620065,Public School,Saugus,MA,01906,"PK,K,01",Saugus,02620000,Public School District,      16,      98,      97,      94,      83,     105,     108,       0,       0,       0,       0,       0,       0,       0,0.0,     601,      50,   8.3,      24,   4.0,      93,  15.5,     153,  25.5, , , , ,   4.0,   3.5,   8.7,  83.0,   0.0,   0.3,   0.5,  51.6,  48.4,     214,24.7,        601,39.9,100.0,     182,100.0,15.1,"     $13,684,202","  $65,695",    208.3,"          $34,427,804.00","           2,881.4","              $11,948.29","          $38,796,060.00","           3,045.2","              $12,740.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savoy: Emma L Miller Elementary School,02630010,Public School,Savoy,MA,01256,"PK,K,01,02,03,04,05,06",Savoy,02630000,Public School District,       8,       6,       4,       2,      10,       4,       5,       0,       0,       0,       0,       0,       0,       0,0.0,      39,       0,   0.0,       0,   0.0,       3,   7.7,      11,  28.2, , , , ,   2.6,   2.6,   5.1,  84.6,   0.0,   0.0,   5.1,  46.2,  53.8,      34,5.7,         39,4.7,95.7,      28,100.0,8.3,"        $211,019","  $44,898",      4.7,"             $725,890.00",              45.8,"              $15,849.13","           $1,208,648.00",              99.4,"              $12,159.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Cushing Elementary,02640007,Public School,Scituate,MA,02066,"K,01,02,03,04,05",Scituate,02640000,Public School District,       0,      53,      60,      69,      60,      60,      63,      77,       0,       0,       0,       0,       0,       0,0.0,     442,      10,   2.3,       5,   1.1,      46,  10.4,      10,   2.3, , , , ,   2.3,   1.1,   1.6,  93.4,   0.0,   0.2,   1.4,  45.5,  54.5,      27,82.2,        443,29.4,100.0,     147,100.0,15.0,"     $16,141,146","  $74,936",    215.4,"          $35,215,170.00","           3,241.8","              $10,862.84","          $37,511,900.00","           3,295.9","              $11,381.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Gates Middle School,02640305,Public School,Scituate,MA,02066,"06,07,08",Scituate,02640000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     242,     265,       1,       0,       0,       0,0.0,     508,      10,   2.0,       3,   0.6,      50,   9.8,      37,   7.3, , , , ,   1.8,   1.0,   1.0,  94.3,   0.0,   0.0,   2.0,  47.8,  52.2,     239,18.8,        508,38.3,100.0,     223,100.0,13.3,"     $16,141,146","  $74,936",    215.4,"          $35,215,170.00","           3,241.8","              $10,862.84","          $37,511,900.00","           3,295.9","              $11,381.38",,,,,,,,       1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Hatherly Elementary,02640010,Public School,Scituate,MA,02066,"K,01,02,03,04,05",Scituate,02640000,Public School District,       0,      33,      58,      50,      51,      50,      55,      64,       0,       0,       0,       0,       0,       0,0.0,     361,       4,   1.1,       3,   0.8,      46,  12.7,      14,   3.9, , , , ,   3.3,   1.4,   0.0,  93.4,   0.0,   0.8,   1.1,  51.5,  48.5,      22,82.5,        361,21.0,100.0,     118,100.0,17.2,"     $16,141,146","  $74,936",    215.4,"          $35,215,170.00","           3,241.8","              $10,862.84","          $37,511,900.00","           3,295.9","              $11,381.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
