School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH
Wachusett: Naquag Elementary School,07750005,Public School,Rutland,MA,01543,"K,01,02",Wachusett,07750000,Public School District,       0,     100,      93,     102,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     295,      12,   4.1,       7,   2.4,      41,  13.9, , ,      83,  28.1,      45,  15.3,0.7,1.7,5.8,88.8,0.0,0.0,3.1,50.5,49.5,0.0,     124,17.4,        295,21.1,100.0,14.0,88.2,95.3,100.0,"     $38,556,190","  $85,000",    453.6,      28,      27,  96.4,  37.0,  63.0,   0.0,   0.0,"          $95,986,735.00","           6,575.7","              $14,597.19","         $105,694,725.60","           6,857.8","              $15,412.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wachusett: Paxton Center,07750040,Public School,Paxton,MA,01612,"K,01,02,03,04,05,06,07,08",Wachusett,07750000,Public School District,       0,      34,      40,      39,      31,      52,      44,      65,      69,      66,       0,       0,       0,       0,       0,     440,      31,   7.0,      14,   3.2,      67,  15.2, , ,     143,  32.5,      69,  15.7,1.1,3.9,7.3,85.5,0.0,0.0,2.3,47.5,52.5,0.0,     179,19.1,        448,31.0,100.0,14.2,96.9,96.8,100.0,"     $38,556,190","  $85,000",    453.6,      36,      36, 100.0,  22.2,  77.8,   0.0,   0.0,"          $95,986,735.00","           6,575.7","              $14,597.19","         $105,694,725.60","           6,857.8","              $15,412.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         155,48.0,          22,7.0,         133,41.0,         131,41.0,          35,11.0,         321,100.0,499.0,35.0,         235,         100,31.0,           5,2.0,          95,30.0,         172,54.0,          48,15.0,         320,99.0,490.0,18.0,         233
Wachusett: Thomas Prince,07750045,Public School,Princeton,MA,01541,"K,01,02,03,04,05,06,07,08",Wachusett,07750000,Public School District,       0,      30,      35,      29,      35,      41,      36,      45,      44,      44,       0,       0,       0,       0,       0,     339,       2,   0.6,       0,   0.0,      51,  15.0, , ,      77,  22.7,      29,   8.6,1.5,1.8,2.9,91.4,0.0,0.0,2.4,54.3,45.7,0.0,     134,19.6,        350,23.5,100.0,14.4,87.2,87.3,100.0,"     $38,556,190","  $85,000",    453.6,      29,      27,  93.1,  48.1,  51.9,   0.0,   0.0,"          $95,986,735.00","           6,575.7","              $14,597.19","         $105,694,725.60","           6,857.8","              $15,412.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         168,72.0,          35,15.0,         133,57.0,          59,25.0,           7,3.0,         234,98.0,510.0,48.0,         154,         128,55.0,          22,9.0,         106,45.0,          87,37.0,          19,8.0,         234,98.0,502.0,41.0,         154
Wachusett: Wachusett Regional High,07750505,Public School,Holden,MA,01520,"09,10,11,12",Wachusett,07750000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     494,     504,     488,     501,      16,"   2,003",      62,   3.1,       7,   0.3,     281,  14.0, , ,     480,  24.0,     260,  13.0,2.0,3.5,5.3,86.9,0.1,0.0,2.0,47.5,52.5,0.0,"   1,095",16.6,"      1,985",137.4,100.0,14.6,94.3,95.8,99.3,"     $38,556,190","  $85,000",    453.6,     163,     159,  97.5,  26.4,  72.3,   1.3,   0.0,"          $95,986,735.00","           6,575.7","              $14,597.19","         $105,694,725.60","           6,857.8","              $15,412.34",505.0,96.4,1.6,0.0,0.2,1.8,0.0,"   1,987",12.0,0.6,487.0,404.0,83.0,0.0,32.9,10.1,40.0,9.9,15.2,9.9,72.9,487.0,444.0,91.2,     366,     651,197.0,85.0,60.0,17.0,7.0,32.0,108.0,186.0,209.0,116.0,21.5,78.5,514.0,582.0,581.0,         988,         661,66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield: Dolbeare,03050005,Public School,Wakefield,MA,01880,"K,01,02,03,04",Wakefield,03050000,Public School District,       0,      82,      83,      83,      94,     101,       0,       0,       0,       0,       0,       0,       0,       0,       0,     443,      33,   7.4,      19,   4.3,      72,  16.3, , ,     116,  26.2,      51,  11.5,2.0,2.3,7.0,85.6,0.2,0.2,2.7,51.2,48.8,0.0,     100,21.4,        427,33.1,100.0,13.4,90.9,100.0,100.0,"     $22,785,638","  $85,789",    265.6,      41,      38,  92.7,-,-,-,-,"          $56,285,196.05","           3,314.1","              $16,983.55","          $63,520,938.78","           3,435.1","              $18,491.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         108,58.0,          13,7.0,          95,51.0,          64,34.0,          15,8.0,         187,97.0,502.0,,,          85,46.0,           8,4.0,          77,41.0,          73,39.0,          28,15.0,         186,97.0,496.0,,
Wakefield: Early Childhood Center at the Doyle School,03050001,Public School,Wakefield,MA,01880,PK,Wakefield,03050000,Public School District,      68,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      68,       7,  10.3,       0,   0.0,      27,  39.7, , ,      33,  48.5,       9,  13.2,5.9,7.4,5.9,76.5,0.0,0.0,4.4,66.2,33.8,0.0,       9,9.2,         83,6.0,100.0,11.3,100.0,100.0,100.0,"     $22,785,638","  $85,789",    265.6,      10,       8,  80.0,-,-,-,-,"          $56,285,196.05","           3,314.1","              $16,983.55","          $63,520,938.78","           3,435.1","              $18,491.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield: Galvin Middle School,03050310,Public School,Wakefield,MA,01880,"05,06,07,08",Wakefield,03050000,Public School District,       0,       0,       0,       0,       0,       0,     259,     268,     264,     267,       0,       0,       0,       0,       0,"   1,058",      51,   4.8,      12,   1.1,     191,  18.1, , ,     326,  30.8,     152,  14.4,1.9,3.3,7.8,83.6,0.2,0.1,3.1,50.9,49.0,0.1,     679,14.8,"      1,046",78.8,100.0,13.4,90.4,96.3,88.8,"     $22,785,638","  $85,789",    265.6,      97,      93,  95.9,   8.6,  89.2,   2.2,   0.0,"          $56,285,196.05","           3,314.1","              $16,983.55","          $63,520,938.78","           3,435.1","              $18,491.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         499,50.0,          54,5.0,         445,44.0,         399,40.0,         110,11.0,"       1,008",96.0,498.0,36.0,         972,         359,35.0,          29,3.0,         330,33.0,         551,54.0,         102,10.0,"       1,012",96.0,493.0,28.0,         975
Wakefield: Greenwood,03050020,Public School,Wakefield,MA,01880,"K,01,02,03,04",Wakefield,03050000,Public School District,       0,      42,      41,      41,      47,      44,       0,       0,       0,       0,       0,       0,       0,       0,       0,     215,       9,   4.2,       4,   1.9,      21,   9.8, , ,      42,  19.5,      19,   8.8,1.4,5.1,4.7,82.3,0.0,0.5,6.0,57.7,42.3,0.0,      50,20.5,        205,13.3,100.0,16.1,92.5,100.0,100.0,"     $22,785,638","  $85,789",    265.6,      21,      20,  95.2,  30.0,  70.0,   0.0,   0.0,"          $56,285,196.05","           3,314.1","              $16,983.55","          $63,520,938.78","           3,435.1","              $18,491.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          57,63.0,           8,9.0,          49,54.0,          29,32.0,           4,4.0,          90,99.0,505.0,,,          52,58.0,           5,6.0,          47,52.0,          30,33.0,           8,9.0,          90,99.0,500.0,,
Wakefield: Wakefield Memorial High,03050505,Public School,Wakefield,MA,01880,"09,10,11,12",Wakefield,03050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     190,     212,     244,     247,       0,     893,      34,   3.8,      15,   1.7,     133,  14.9, , ,     226,  25.3,     121,  13.5,3.8,3.2,7.7,83.4,0.2,0.0,1.6,48.0,52.0,0.0,     344,14.3,        829,69.2,98.8,12.9,90.2,93.1,93.8,"     $22,785,638","  $85,789",    265.6,      90,      87,  96.7,   9.2,  87.4,   3.4,   0.0,"          $56,285,196.05","           3,314.1","              $16,983.55","          $63,520,938.78","           3,435.1","              $18,491.73",256.0,95.7,2.0,1.2,0.0,1.2,0.0,     893,1.0,0.1,245.0,212.0,86.5,0.0,35.9,9.0,41.6,9.0,11.4,17.6,77.5,245.0,245.0,100.0,     227,     458,95.0,71.0,35.0,16.0,10.0,76.0,115.0,136.0,87.0,44.0,41.7,58.3,248.0,565.0,561.0,         490,         363,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield: Walton,03050040,Public School,Wakefield,MA,01880,"K,01,02,03,04",Wakefield,03050000,Public School District,       0,      44,      41,      47,      45,      46,       0,       0,       0,       0,       0,       0,       0,       0,       0,     223,       9,   4.0,       6,   2.7,      23,  10.3, , ,      42,  18.8,      19,   8.5,3.6,1.8,6.7,84.8,0.0,0.9,2.2,56.1,43.9,0.0,      50,19.8,        198,12.7,100.0,17.6,92.1,100.0,100.0,"     $22,785,638","  $85,789",    265.6,      22,      20,  90.9,  15.0,  80.0,   5.0,   0.0,"          $56,285,196.05","           3,314.1","              $16,983.55","          $63,520,938.78","           3,435.1","              $18,491.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          59,67.0,          17,19.0,          42,48.0,          26,30.0,           3,3.0,          88,99.0,509.0,,,          46,52.0,           5,6.0,          41,47.0,          36,41.0,           6,7.0,          88,99.0,499.0,,
Wakefield: Woodville School,03050015,Public School,Wakefield,MA,01880,"PK,K,01,02,03,04",Wakefield,03050000,Public School District,       0,     101,      82,      74,      77,      75,       0,       0,       0,       0,       0,       0,       0,       0,       0,     409,      58,  14.2,      25,   6.1,      54,  13.2, , ,     140,  34.2,      84,  20.5,3.7,6.1,10.3,74.3,0.0,0.2,5.4,47.7,52.3,0.0,     105,18.1,        380,32.7,100.0,12.5,81.7,100.0,100.0,"     $22,785,638","  $85,789",    265.6,      39,      35,  89.7,   8.6,  88.6,   2.9,   0.0,"          $56,285,196.05","           3,314.1","              $16,983.55","          $63,520,938.78","           3,435.1","              $18,491.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          85,59.0,          11,8.0,          74,51.0,          51,35.0,           9,6.0,         145,97.0,501.0,,,          62,43.0,          12,8.0,          50,34.0,          58,40.0,          25,17.0,         145,97.0,495.0,,
Wales: Wales Elementary,03060005,Public School,Wales,MA,01081,"PK,K,01,02,03,04,05,06",Wales,03060000,Public School District,      12,      16,      18,      12,      12,      14,      24,      16,       0,       0,       0,       0,       0,       0,       0,     124,       1,   0.8,       1,   0.8,      30,  24.2, , ,      68,  54.8,      54,  43.5,1.6,0.0,0.8,94.4,0.8,0.0,2.4,52.4,47.6,0.0,      39,16.9,        128,9.3,100.0,13.3,97.8,97.8,100.0,"        $800,219","  $84,234",      9.5,      15,      15, 100.0,   6.7,  86.7,   6.7,   0.0,"           $2,257,099.00",             127.4,"              $17,716.63","           $2,796,243.00",             143.8,"              $19,445.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          37,58.0,           2,3.0,          35,55.0,          25,39.0,           2,3.0,          64,96.0,502.0,37.0,          35,          28,44.0,           1,2.0,          27,42.0,          30,47.0,           6,9.0,          64,96.0,494.0,49.0,          35
Walpole: Bird Middle,03070305,Public School,East Walpole,MA,02032,"06,07,08",Walpole,03070000,Public School District,       0,       0,       0,       0,       0,       0,       0,     126,     143,     128,       0,       0,       0,       0,       0,     397,      43,  10.8,      11,   2.8,      64,  16.1, , ,     114,  28.7,      64,  16.1,5.3,2.8,7.1,82.6,0.0,0.0,2.3,49.4,50.6,0.0,     256,15.7,        404,35.2,100.0,11.3,89.1,97.2,97.6,"     $23,997,894","  $84,948",    282.5,      50,      49,  98.0,-,-,-,-,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         201,52.0,          24,6.0,         177,46.0,         137,35.0,          49,13.0,         387,99.0,500.0,30.0,         369,         177,46.0,          20,5.0,         157,41.0,         174,45.0,          35,9.0,         386,99.0,499.0,31.0,         368
Walpole: Boyden,03070010,Public School,Walpole,MA,02081,"K,01,02,03,04,05",Walpole,03070000,Public School District,       0,      53,      61,      60,      67,      56,      53,       0,       0,       0,       0,       0,       0,       0,       0,     350,      43,  12.3,      26,   7.4,      36,  10.3, , ,      99,  28.3,      63,  18.0,6.3,3.7,6.3,80.6,0.6,0.0,2.6,51.1,48.9,0.0,     107,12.9,        346,27.0,100.0,13.0,92.6,100.0,100.0,"     $23,997,894","  $84,948",    282.5,      44,      44, 100.0,   9.1,  88.6,   2.3,   0.0,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         112,66.0,          19,11.0,          93,55.0,          44,26.0,          14,8.0,         170,99.0,506.0,49.0,          50,          81,48.0,           7,4.0,          74,44.0,          62,36.0,          27,16.0,         170,99.0,495.0,41.0,          50
Walpole: Daniel Feeney Preschool Center,03070002,Public School,Walpole,MA,02081,PK,Walpole,03070000,Public School District,      62,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      62,       6,   9.7,       6,   9.7,      25,  40.3, , ,      33,  53.2,       9,  14.5,3.2,3.2,9.7,82.3,0.0,0.0,1.6,58.1,41.9,0.0,       8,10.4,         83,6.0,100.0,10.3,100.0,100.0,100.0,"     $23,997,894","  $84,948",    282.5,       9,       9, 100.0,  22.2,  66.7,  11.1,   0.0,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walpole: Eleanor N Johnson Middle,03070310,Public School,Walpole,MA,02081,"06,07,08",Walpole,03070000,Public School District,       0,       0,       0,       0,       0,       0,       0,     146,     136,     141,       0,       0,       0,       0,       0,     423,      55,  13.0,       7,   1.7,      60,  14.2, , ,     125,  29.6,      59,  13.9,3.3,11.6,6.4,74.0,0.7,0.0,4.0,54.6,45.4,0.0,     251,16.7,        427,32.1,100.0,13.2,77.7,96.9,100.0,"     $23,997,894","  $84,948",    282.5,      50,      49,  98.0,   6.1,  91.8,   2.0,   0.0,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         233,57.0,          29,7.0,         204,50.0,         128,31.0,          49,12.0,         410,98.0,502.0,32.0,         400,         246,60.0,          39,10.0,         207,50.0,         131,32.0,          33,8.0,         410,98.0,504.0,32.0,         400
Walpole: Elm Street School,03070005,Public School,Walpole,MA,02081,"K,01,02,03,04,05",Walpole,03070000,Public School District,       0,      86,      61,      67,      69,      74,      77,       0,       0,       0,       0,       0,       0,       0,       0,     434,      46,  10.6,      22,   5.1,      41,   9.4, , ,      98,  22.6,      40,   9.2,3.9,6.2,4.1,82.5,0.0,0.0,3.2,46.8,53.2,0.0,     112,15.4,        432,29.5,100.0,14.7,78.0,100.0,100.0,"     $23,997,894","  $84,948",    282.5,      48,      48, 100.0,  12.5,  87.5,   0.0,   0.0,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         157,74.0,          26,12.0,         131,62.0,          53,25.0,           2,1.0,         212,100.0,511.0,44.0,          73,         152,72.0,          33,16.0,         119,56.0,          54,25.0,           6,3.0,         212,100.0,509.0,50.0,          73
Walpole: Fisher,03070015,Public School,Walpole,MA,02081,"K,01,02,03,04,05",Walpole,03070000,Public School District,       0,      96,      71,      78,      74,      60,      78,       0,       0,       0,       0,       0,       0,       0,       0,     457,      74,  16.2,      17,   3.7,      68,  14.9, , ,     122,  26.7,      45,   9.8,1.5,13.8,6.6,72.9,0.4,0.4,4.4,49.5,50.5,0.0,     112,16.6,        464,33.0,100.0,13.8,87.9,100.0,100.0,"     $23,997,894","  $84,948",    282.5,      51,      51, 100.0,   5.9,  94.1,   0.0,   0.0,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         141,67.0,          37,18.0,         104,50.0,          57,27.0,          12,6.0,         210,99.0,508.0,50.0,          77,         138,65.0,          32,15.0,         106,50.0,          63,30.0,          10,5.0,         211,100.0,507.0,51.0,          77
Walpole: Old Post Road,03070018,Public School,East Walpole,MA,02032,"K,01,02,03,04,05",Walpole,03070000,Public School District,       0,      74,      86,      78,      71,      83,      62,       0,       0,       0,       0,       0,       0,       0,       0,     454,      20,   4.4,      11,   2.4,      21,   4.6, , ,      85,  18.7,      55,  12.1,2.9,2.6,9.7,79.1,0.2,0.0,5.5,48.0,52.0,0.0,     120,15.4,        462,32.0,100.0,14.2,93.8,100.0,100.0,"     $23,997,894","  $84,948",    282.5,      47,      47, 100.0,   6.4,  93.6,   0.0,   0.0,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         155,74.0,          28,13.0,         127,60.0,          51,24.0,           4,2.0,         210,100.0,510.0,54.0,          61,         143,68.0,          29,14.0,         114,54.0,          64,30.0,           3,1.0,         210,100.0,507.0,55.0,          61
Walpole: Walpole High,03070505,Public School,Walpole,MA,02081,"09,10,11,12",Walpole,03070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     255,     259,     290,     270,       4,"   1,078",     100,   9.3,      27,   2.5,     154,  14.3, , ,     275,  25.5,     145,  13.5,3.0,6.0,5.6,82.8,0.4,0.0,2.2,50.4,49.6,0.0,     536,14.8,"      1,043",87.7,100.0,12.3,89.2,96.2,96.9,"     $23,997,894","  $84,948",    282.5,     112,     110,  98.2,  20.0,  77.3,   2.7,   0.0,"          $60,218,179.73","           3,673.8","              $16,391.25","          $65,953,637.10","           3,791.4","              $17,395.59",272.0,95.2,2.6,0.0,0.4,1.8,0.0,"   1,074",6.0,0.6,261.0,201.0,77.0,0.4,37.2,5.4,33.7,5.0,7.3,10.0,70.9,261.0,1.0,0.4,     200,     405,90.0,49.0,39.0,12.0,10.0,12.0,39.0,131.0,138.0,85.0,12.6,87.4,291.0,587.0,569.0,         557,         297,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waltham: Douglas MacArthur Elementary School,03080032,Public School,Waltham,MA,02451,"K,01,02,03,04,05",Waltham,03080000,Public School District,       0,      91,      61,      82,      69,      82,      73,       0,       0,       0,       0,       0,       0,       0,       0,     458,     111,  24.2,      29,   6.3,      52,  11.4, , ,     139,  30.3,      77,  16.8,9.6,10.5,12.9,62.2,0.2,0.0,4.6,53.3,46.7,0.0,     243,16.1,        387,36.4,100.0,12.6,88.7,97.3,100.0,"     $47,079,599","  $93,006",    506.2,      55,      55, 100.0,  27.3,  70.9,   1.8,   0.0,"         $125,392,031.43","           5,440.4","              $23,048.31","         $132,618,179.43","           5,617.7","              $23,607.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         112,54.0,           8,4.0,         104,50.0,          85,41.0,          12,6.0,         209,98.0,500.0,48.0,          70,          95,45.0,          10,5.0,          85,41.0,          80,38.0,          34,16.0,         209,98.0,494.0,56.0,          70
Waltham: Henry Whittemore Elementary School,03080065,Public School,Waltham,MA,02453,"K,01,02,03,04,05",Waltham,03080000,Public School District,       0,      52,      65,      67,      70,      81,      78,       0,       0,       0,       0,       0,       0,       0,       0,     413,     338,  81.8,     239,  57.9,      30,   7.3, , ,     358,  86.7,     273,  66.1,7.5,3.6,77.5,9.9,0.0,0.0,1.5,50.4,49.6,0.0,     200,18.4,        373,32.1,100.0,12.9,77.7,93.3,100.0,"     $47,079,599","  $93,006",    506.2,      47,      47, 100.0,   2.1,  93.6,   4.3,   0.0,"         $125,392,031.43","           5,440.4","              $23,048.31","         $132,618,179.43","           5,617.7","              $23,607.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          59,27.0,          10,5.0,          49,23.0,         105,49.0,          51,24.0,         215,100.0,485.0,32.0,          59,          39,18.0,           4,2.0,          35,16.0,         104,48.0,          72,33.0,         215,100.0,479.0,23.0,          60
Waltham: James Fitzgerald Elementary School,03080060,Public School,Waltham,MA,02453,"K,01,02,03,04,05",Waltham,03080000,Public School District,       0,      60,      59,      66,      72,      55,      60,       0,       0,       0,       0,       0,       0,       0,       0,     372,     140,  37.6,      71,  19.1,      43,  11.6, , ,     157,  42.2,     108,  29.0,4.0,4.8,31.7,53.8,0.0,0.0,5.6,52.2,47.8,0.0,     236,14.2,        333,27.9,100.0,13.4,88.5,96.6,100.0,"     $47,079,599","  $93,006",    506.2,      45,      45, 100.0,  31.1,  64.4,   4.4,   0.0,"         $125,392,031.43","           5,440.4","              $23,048.31","         $132,618,179.43","           5,617.7","              $23,607.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          93,53.0,          18,10.0,          75,43.0,          67,38.0,          15,9.0,         175,98.0,501.0,44.0,          51,          60,34.0,           6,3.0,          54,31.0,          77,44.0,          38,22.0,         175,98.0,489.0,27.0,          52
Waltham: John F Kennedy Middle,03080404,Public School,Waltham,MA,02452,"06,07,08",Waltham,03080000,Public School District,       0,       0,       0,       0,       0,       0,       0,     186,     185,     164,       0,       0,       0,       0,       0,     535,     223,  41.7,      36,   6.7,      74,  13.8, , ,     256,  47.9,     184,  34.4,8.8,5.2,26.5,56.6,0.0,0.0,2.8,55.0,45.0,0.0,     335,13.7,        468,47.6,100.0,11.2,78.6,95.6,94.9,"     $47,079,599","  $93,006",    506.2,      67,      65,  97.0,  20.0,  76.9,   3.1,   0.0,"         $125,392,031.43","           5,440.4","              $23,048.31","         $132,618,179.43","           5,617.7","              $23,607.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         245,50.0,          66,13.0,         179,36.0,         179,36.0,          69,14.0,         493,98.0,501.0,50.0,         456,         198,40.0,          28,6.0,         170,35.0,         219,45.0,          73,15.0,         490,97.0,494.0,39.0,         453
Waltham: John W. McDevitt Middle School,03080415,Public School,Waltham,MA,02453,"06,07,08",Waltham,03080000,Public School District,       0,       0,       0,       0,       0,       0,       0,     207,     222,     240,       0,       0,       0,       0,       0,     669,     419,  62.6,     131,  19.6,     137,  20.5, , ,     455,  68.0,     312,  46.6,7.8,4.0,58.3,28.8,0.0,0.0,1.0,51.1,48.9,0.0,     350,15.4,        630,49.1,100.0,13.6,81.3,94.9,95.7,"     $47,079,599","  $93,006",    506.2,      77,      77, 100.0,  22.1,  75.3,   2.6,   0.0,"         $125,392,031.43","           5,440.4","              $23,048.31","         $132,618,179.43","           5,617.7","              $23,607.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         244,39.0,          58,9.0,         186,30.0,         224,36.0,         158,25.0,         626,97.0,492.0,38.0,         542,         169,27.0,          14,2.0,         155,25.0,         286,46.0,         167,27.0,         622,96.0,486.0,31.0,         538
Waltham: Northeast Elementary School,03080040,Public School,Waltham,MA,02452,"PK,K,01,02,03,04,05",Waltham,03080000,Public School District,      52,      54,      86,      67,      80,      67,      76,       0,       0,       0,       0,       0,       0,       0,       0,     482,     233,  48.3,     126,  26.1,      75,  15.6, , ,     290,  60.2,     219,  45.4,10.8,8.1,35.9,42.5,0.4,0.0,2.3,49.2,50.8,0.0,     248,15.1,        440,42.1,100.0,11.5,84.0,97.0,98.1,"     $47,079,599","  $93,006",    506.2,      61,      60,  98.4,  15.0,  80.0,   3.3,   1.7,"         $125,392,031.43","           5,440.4","              $23,048.31","         $132,618,179.43","           5,617.7","              $23,607.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          71,36.0,           9,5.0,          62,32.0,          90,46.0,          34,17.0,         195,98.0,491.0,29.0,          58,          42,22.0,           6,3.0,          36,18.0,          93,48.0,          60,31.0,         195,98.0,482.0,29.0,          58
Waltham: Thomas R Plympton Elementary School,03080050,Public School,Waltham,MA,02451,"K,01,02,03,04,05",Waltham,03080000,Public School District,       0,      49,      67,      67,      64,      53,      77,       0,       0,       0,       0,       0,       0,       0,       0,     377,     203,  53.8,     105,  27.9,      52,  13.8, , ,     228,  60.5,     159,  42.2,12.7,5.6,38.7,38.7,0.0,0.0,4.2,51.5,48.5,0.0,     185,17.3,        315,23.8,100.0,15.9,78.7,91.6,100.0,"     $47,079,599","  $93,006",    506.2,      47,      45,  95.7,  13.3,  86.7,   0.0,   0.0,"         $125,392,031.43","           5,440.4","              $23,048.31","         $132,618,179.43","           5,617.7","              $23,607.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          74,42.0,           3,2.0,          71,40.0,          86,49.0,          17,10.0,         177,98.0,495.0,31.0,          70,          62,35.0,           6,3.0,          56,32.0,          79,45.0,          36,20.0,         177,98.0,489.0,33.0,          70
