School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Cumulative Progress Toward Improvement Targets (%)
Waltham: James Fitzgerald Elementary School,03080060,Public School,Waltham,MA,02453,"K,01,02,03,04,05",Waltham,03080000,Public School District,       0,      78,      76,      58,      63,      73,      67,       0,       0,       0,       0,       0,       0,       0,       0,     415,     155,  37.3,      97,  23.4,      40,   9.6, , ,     176,  42.4,     112,  27.0,4.8,4.8,30.6,55.4,0.0,0.0,4.3,51.6,48.4,     262,16.4,        413,35.1,100.0,11.8,95.2,99.7,100.0,"     $42,988,665","  $81,976",    524.4,51.0,51.0,100.0,  15.7,  82.4,   2.0,   0.0,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         111,58.0,          14,7.0,          97,51.0,          65,34.0,          16,8.0,         192,503.1,50.2,         130,53.0,         121,63.0,          21,11.0,         100,52.0,          60,31.0,          11,6.0,         192,505.1,63.1,         130,70.0,Not requiring assistance or intervention,Substantial progress toward targets,54.0,66.0
Waltham: John F Kennedy Middle,03080404,Public School,Waltham,MA,02452,"06,07,08",Waltham,03080000,Public School District,       0,       0,       0,       0,       0,       0,       0,     174,     175,     180,       0,       0,       0,       0,       0,     529,     212,  40.1,      68,  12.9,     104,  19.7, , ,     268,  50.7,     170,  32.1,11.0,4.3,30.4,52.9,0.0,0.0,1.3,55.0,45.0,     366,15.4,        551,54.3,98.2,9.7,84.1,87.8,96.7,"     $42,988,665","  $81,976",    524.4,70.0,66.0,94.3,  10.6,  83.3,   3.0,   3.0,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         259,53.0,          54,11.0,         205,42.0,         161,33.0,          73,15.0,         493,499.5,55.7,         465,38.0,         228,46.0,          43,9.0,         185,38.0,         200,41.0,          63,13.0,         491,498.5,56.4,         463,46.0,Not requiring assistance or intervention,Substantial progress toward targets,38.0,55.0
Waltham: John W. McDevitt Middle School,03080415,Public School,Waltham,MA,02453,"06,07,08",Waltham,03080000,Public School District,       0,       0,       0,       0,       0,       0,       0,     247,     226,     204,       0,       0,       0,       0,       0,     677,     353,  52.1,      91,  13.4,     148,  21.9, , ,     394,  58.2,     230,  34.0,9.6,4.1,47.7,36.8,0.0,0.0,1.8,47.4,52.6,     434,16.2,        687,68.1,100.0,9.9,72.3,90.0,96.2,"     $42,988,665","  $81,976",    524.4,85.0,85.0,100.0,  14.1,  81.2,   4.7,   0.0,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         389,60.0,         130,20.0,         259,40.0,         171,27.0,          84,13.0,         644,505.4,58.4,         621,62.0,         296,46.0,          59,9.0,         237,37.0,         255,40.0,          93,14.0,         644,497.0,51.1,         623,39.0,Not requiring assistance or intervention,Moderate progress toward targets,47.0,42.0
Waltham: Northeast Elementary School,03080040,Public School,Waltham,MA,02452,"PK,K,01,02,03,04,05",Waltham,03080000,Public School District,      66,      69,      95,      69,      96,      85,      72,       0,       0,       0,       0,       0,       0,       0,       0,     552,     239,  43.3,     130,  23.6,      79,  14.3, , ,     305,  55.3,     195,  35.3,13.6,10.0,29.5,44.7,0.2,0.0,2.0,51.1,48.9,     303,17.2,        574,44.4,100.0,12.4,82.2,99.7,96.4,"     $42,988,665","  $81,976",    524.4,64.0,64.0,100.0,  15.6,  78.1,   4.7,   1.6,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         107,47.0,          20,9.0,          87,38.0,          91,40.0,          29,13.0,         227,499.1,51.5,         139,37.0,          97,43.0,           8,4.0,          89,39.0,          97,43.0,          34,15.0,         228,495.7,53.9,         138,34.0,Not requiring assistance or intervention,Moderate progress toward targets,35.0,46.0
Waltham: Thomas R Plympton Elementary School,03080050,Public School,Waltham,MA,02451,"K,01,02,03,04,05",Waltham,03080000,Public School District,       0,      70,      68,      65,      79,      70,      76,       0,       0,       0,       0,       0,       0,       0,       0,     428,     230,  53.7,     133,  31.1,      58,  13.6, , ,     263,  61.4,     163,  38.1,11.9,5.6,42.5,37.1,0.0,0.0,2.8,50.9,49.1,     260,16.7,        413,36.8,100.0,11.6,77.0,93.9,100.0,"     $42,988,665","  $81,976",    524.4,56.0,54.0,96.4,   3.7,  90.7,   5.6,   0.0,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         105,49.0,           7,3.0,          98,46.0,          95,44.0,          14,7.0,         214,499.5,42.3,         137,38.0,         109,51.0,          19,9.0,          90,42.0,          84,39.0,          20,9.0,         213,500.2,42.7,         136,52.0,Not requiring assistance or intervention,Substantial progress toward targets,34.0,56.0
Waltham: Waltham Public Schools Dual Language Program,03080001,Public School,Waltham,MA,02453,"K,01,02,03,04,05",Waltham,03080000,Public School District,       0,      37,      38,      38,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     113,      75,  66.4,      63,  55.8,       1,   0.9, , ,      74,  65.5,      45,  39.8,4.4,1.8,70.8,20.4,0.0,0.0,2.7,60.2,39.8,      60,18.8,        113,6.5,100.0,17.4,48.5,95.4,100.0,"     $42,988,665","  $81,976",    524.4,15.0,15.0,100.0,  13.3,  73.3,  13.3,   0.0,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Waltham: Waltham Sr High,03080505,Public School,Waltham,MA,02452,"09,10,11,12",Waltham,03080000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     384,     413,     426,     385,       1,"   1,609",     769,  47.8,     301,  18.7,     209,  13.0, , ,     812,  50.5,     550,  34.2,11.1,4.2,41.9,40.5,0.1,0.1,2.1,53.4,46.5,     851,15.4,"      1,604",145.6,99.3,11.0,71.3,89.2,88.5,"     $42,988,665","  $81,976",    524.4,179.0,179.0,100.0,  14.0,  79.9,   5.6,   0.6,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",       402,84.1,3.2,2.0,0.5,10.2,0.0,"   1,608",57.0,3.5,344.0,232.0,67.4,0.0,24.4,16.9,26.2,16.6,10.8,10.5,50.599999999999994,344.0,328.0,95.3,     306,     546,142.0,104.0,47.0,10.0,3.0,70.0,111.0,155.0,124.0,86.0,33.2,66.8,379.0,525.0,526.0,         787,         476,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Moderate progress toward targets,13.0,25.0
Waltham: William F. Stanley Elementary School,03080005,Public School,Waltham,MA,02453,"PK,K,01,02,03,04,05",Waltham,03080000,Public School District,      69,      54,      59,      69,      67,      53,      61,       0,       0,       0,       0,       0,       0,       0,       0,     432,     221,  51.2,     117,  27.1,      93,  21.5, , ,     255,  59.0,     145,  33.6,6.5,5.8,47.0,39.1,0.0,0.0,1.6,54.6,45.4,     301,12.9,        453,46.6,100.0,9.3,90.7,100.0,94.4,"     $42,988,665","  $81,976",    524.4,62.0,62.0,100.0,   4.8,  93.5,   1.6,   0.0,"         $119,090,108.00","           5,582.8","              $21,331.61","         $127,009,430.00","           5,781.5","              $21,968.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          97,57.0,          19,11.0,          78,46.0,          55,32.0,          18,11.0,         170,506.5,65.2,          97,67.0,          70,41.0,           4,2.0,          66,39.0,          75,44.0,          25,15.0,         170,496.2,49.4,          97,37.0,Not requiring assistance or intervention,Meeting or exceeding targets,52.0,75.0
Ware: Stanley M Koziol Elementary School,03090020,Public School,Ware,MA,01082,"PK,K,01,02,03",Ware,03090000,Public School District,      65,      84,      72,      85,      89,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     395,       9,   2.3,       8,   2.0,      87,  22.0, , ,     263,  66.6,     238,  60.3,0.8,0.5,3.0,93.9,0.0,0.0,1.8,49.9,50.1,      76,17.7,        390,29.7,100.0,13.3,94.6,100.0,100.0,"      $5,989,791","  $65,106",     92.0,36.0,36.0,100.0,  11.1,  88.9,   0.0,   0.0,"          $17,989,905.68","           1,166.5","              $15,422.12","          $20,631,224.50","           1,379.0","              $14,961.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          46,57.0,           1,1.0,          45,56.0,          27,33.0,           8,10.0,          81,500.1,,,40.0,          22,27.0,           1,1.0,          21,26.0,          44,54.0,          15,19.0,          81,488.0,,,15.0,Not requiring assistance or intervention,Meeting or exceeding targets,,78.0
Ware: Ware Junior/Senior High School,03090505,Public School,Ware,MA,01082,"07,08,09,10,11,12",Ware,03090000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     107,      94,      82,      73,      52,      65,       3,     476,      14,   2.9,       4,   0.8,      88,  18.5, , ,     242,  50.8,     210,  44.1,2.5,1.1,6.9,84.5,0.0,0.4,4.6,50.0,50.0,     211,17.4,        484,39.0,97.0,12.2,83.7,82.1,78.6,"      $5,989,791","  $65,106",     92.0,46.0,43.0,93.5,  34.9,  65.1,   0.0,   0.0,"          $17,989,905.68","           1,166.5","              $15,422.12","          $20,631,224.50","           1,379.0","              $14,961.00",        79,74.7,6.3,1.3,1.3,16.5,0.0,     272,10.0,3.7,65.0,41.0,63.1,0.0,18.5,13.8,30.8,12.3,18.5,6.2,49.3,65.0,65.0,100.0,      37,      54,23.0,11.0,3.0,0.0,0.0,6.0,12.0,22.0,11.0,3.0,33.3,66.7,64.0,542.0,532.0,         116,          66,56.9,          67,34.0,           4,2.0,          63,32.0,          92,47.0,          37,19.0,         196,489.9,39.1,         189,12.0,          46,23.0,           6,3.0,          40,20.0,         113,58.0,          37,19.0,         196,487.8,39.1,         190,14.0,Not requiring assistance or intervention,Moderate progress toward targets,31.0,49.0
Ware: Ware Middle School,03090305,Public School,Ware,MA,01082,"04,05,06",Ware,03090000,Public School District,       0,       0,       0,       0,       0,      99,     101,     118,       0,       0,       0,       0,       0,       0,       0,     318,       6,   1.9,       2,   0.6,      51,  16.0, , ,     180,  56.6,     160,  50.3,1.6,0.3,7.2,85.5,0.3,0.0,5.0,50.3,49.7,     105,23.8,        316,23.3,100.0,13.6,89.7,95.7,95.7,"      $5,989,791","  $65,106",     92.0,29.0,27.0,93.1,-,-,-,-,"          $17,989,905.68","           1,166.5","              $15,422.12","          $20,631,224.50","           1,379.0","              $14,961.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         121,39.0,           7,2.0,         114,37.0,         142,46.0,          45,15.0,         308,493.7,46.0,         298,20.0,         117,38.0,           4,1.0,         113,37.0,         146,47.0,          46,15.0,         309,492.1,56.0,         298,23.0,Not requiring assistance or intervention,Substantial progress toward targets,28.0,59.0
Wareham: Wareham Cooperative Alternative School,03100315,Public School,Wareham,MA,02571,"09,10,11,12",Wareham,03100000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       1,      15,      14,      28,       0,      58,       0,   0.0,       0,   0.0,      14,  24.1, , ,      40,  69.0,      37,  63.8,12.1,0.0,12.1,62.1,0.0,0.0,13.8,51.7,48.3,      32,4.7,         46,2.8,91.2,20.5,89.0,91.2,66.7,"     $13,757,999","  $76,053",    180.9,10.0,5.0,50.0,-,-,-,-,"          $38,955,582.53","           2,119.9","              $18,376.14","          $45,445,371.50","           2,528.1","              $17,976.10",        37,45.9,24.3,0.0,0.0,29.7,0.0,      58,18.0,31.0,26.0,3.0,11.5,0.0,0.0,7.7,3.8,7.7,0.0,0.0,3.8,26.0,25.0,96.2,,,,,,,,,,,,,,,2.0,,,          28,           0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Wareham: Wareham Elementary School,03100017,Public School,Wareham,MA,02571,"PK,K,01,02,03,04",Wareham,03100000,Public School District,       0,       0,       0,       0,     166,     192,       0,       0,       0,       0,       0,       0,       0,       0,       0,     358,       5,   1.4,       3,   0.8,      94,  26.3, , ,     218,  60.9,     182,  50.8,9.2,0.6,9.5,66.2,2.0,0.3,12.3,55.3,44.7,     186,17.5,        359,28.2,98.4,12.7,86.0,96.5,90.0,"     $13,757,999","  $76,053",    180.9,47.0,46.0,97.9,  15.2,  84.8,   0.0,   0.0,"          $38,955,582.53","           2,119.9","              $18,376.14","          $45,445,371.50","           2,528.1","              $17,976.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         115,34.0,          12,4.0,         103,30.0,         186,55.0,          40,12.0,         341,494.4,40.5,         170,22.0,          95,28.0,           6,2.0,          89,26.0,         184,54.0,          62,18.0,         341,490.9,47.6,         170,20.0,Not requiring assistance or intervention,Substantial progress toward targets,18.0,68.0
Wareham: Wareham Middle,03100305,Public School,Wareham,MA,02571,"05,06,07",Wareham,03100000,Public School District,       0,       0,       0,       0,       0,       0,     183,     167,     167,       0,       0,       0,       0,       0,       0,     517,      12,   2.3,       6,   1.2,     122,  23.6, , ,     319,  61.7,     275,  53.2,7.4,1.2,7.7,71.0,1.0,0.2,11.6,51.1,48.9,     264,17.3,        541,39.9,100.0,12.9,83.8,95.0,98.0,"     $13,757,999","  $76,053",    180.9,60.0,58.0,96.7,  20.7,  79.3,   0.0,   0.0,"          $38,955,582.53","           2,119.9","              $18,376.14","          $45,445,371.50","           2,528.1","              $17,976.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         218,44.0,          39,8.0,         179,36.0,         206,42.0,          72,15.0,         496,497.6,55.1,         472,32.0,         141,28.0,          15,3.0,         126,25.0,         281,57.0,          74,15.0,         496,490.5,48.4,         473,19.0,Not requiring assistance or intervention,Substantial progress toward targets,26.0,58.0
Wareham: Wareham Senior High,03100505,Public School,Wareham,MA,02571,"08,09,10,11,12",Wareham,03100000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,     167,     138,      83,     100,      94,       8,     590,      16,   2.7,       6,   1.0,     141,  23.9, , ,     308,  52.2,     250,  42.4,9.5,1.7,5.6,72.4,1.4,0.2,9.3,50.5,49.3,     488,13.0,        610,58.0,97.4,10.2,83.8,90.5,82.1,"     $13,757,999","  $76,053",    180.9,77.0,74.0,96.1,  32.4,  62.2,   5.4,   0.0,"          $38,955,582.53","           2,119.9","              $18,376.14","          $45,445,371.50","           2,528.1","              $17,976.10",       106,84.0,4.7,2.8,0.0,8.5,0.0,     415,4.0,1.0,91.0,55.0,60.4,0.0,14.3,16.5,29.7,16.5,8.8,15.4,44.0,91.0,91.0,100.0,      67,     109,37.0,20.0,8.0,2.0,0.0,25.0,53.0,24.0,6.0,1.0,71.6,28.4,85.0,528.0,539.0,         195,          90,46.2,          57,36.0,           7,4.0,          50,32.0,          73,46.0,          27,17.0,         157,491.5,40.9,         151,16.0,          38,24.0,           2,1.0,          36,23.0,          90,57.0,          30,19.0,         158,488.2,47.9,         153,15.0,Not requiring assistance or intervention,Limited or no progress toward targets,12.0,24.0
Watertown: Cunniff,03140015,Public School,Watertown,MA,02472,"K,01,02,03,04,05",Watertown,03140000,Public School District,      15,      60,      57,      47,      43,      63,      45,       0,       0,       0,       0,       0,       0,       0,       0,     330,     117,  35.5,      42,  12.7,      69,  20.9, , ,     133,  40.3,      67,  20.3,2.7,7.3,18.5,66.4,0.3,0.0,4.8,52.4,47.6,     150,19.7,        328,29.6,100.0,11.1,70.9,91.2,100.0,"     $21,926,120","  $83,624",    262.2,41.0,40.0,97.6,  17.5,  80.0,   2.5,   0.0,"          $55,747,752.54","           2,644.8","              $21,078.25","          $62,615,504.23","           2,792.5","              $22,422.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          63,44.0,          13,9.0,          50,35.0,          66,46.0,          15,10.0,         144,499.5,46.5,          95,38.0,          63,43.0,          11,8.0,          52,36.0,          62,43.0,          20,14.0,         145,497.9,55.2,          97,43.0,Not requiring assistance or intervention,Substantial progress toward targets,51.0,62.0
Watertown: Hosmer,03140020,Public School,Watertown,MA,02472,"PK,K,01,02,03,04,05",Watertown,03140000,Public School District,      95,     116,     105,     107,      77,      72,      83,       0,       0,       0,       0,       0,       0,       0,       0,     655,     249,  38.0,     121,  18.5,     130,  19.8, , ,     294,  44.9,     132,  20.2,3.5,8.7,18.9,59.7,0.3,0.2,8.7,51.3,48.7,     291,18.1,        674,64.1,100.0,10.2,81.9,93.8,100.0,"     $21,926,120","  $83,624",    262.2,77.0,76.0,98.7,  13.2,  86.8,   0.0,   0.0,"          $55,747,752.54","           2,644.8","              $21,078.25","          $62,615,504.23","           2,792.5","              $22,422.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         125,56.0,          32,14.0,          93,42.0,          79,35.0,          20,9.0,         224,503.8,63.3,         141,56.0,         115,51.0,          15,7.0,         100,45.0,          83,37.0,          26,12.0,         224,498.4,62.9,         141,45.0,Not requiring assistance or intervention,School of Recognition: High Growth,56.0,91.0
Watertown: James Russell Lowell,03140025,Public School,Watertown,MA,02472,"K,01,02,03,04,05",Watertown,03140000,Public School District,      14,      69,      74,      67,      57,      64,      59,       0,       0,       0,       0,       0,       0,       0,       0,     404,     144,  35.6,      72,  17.8,      67,  16.6, , ,     180,  44.6,     106,  26.2,2.0,7.7,17.1,66.1,0.2,0.0,6.9,50.7,49.3,     199,19.6,        423,40.9,100.0,9.9,90.0,100.0,97.9,"     $21,926,120","  $83,624",    262.2,54.0,52.0,96.3,  13.5,  86.5,   0.0,   0.0,"          $55,747,752.54","           2,644.8","              $21,078.25","          $62,615,504.23","           2,792.5","              $22,422.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         112,65.0,          16,9.0,          96,56.0,          52,30.0,           8,5.0,         172,505.8,57.4,         114,64.0,         112,65.0,          24,14.0,          88,51.0,          49,28.0,          11,6.0,         172,506.7,71.0,         115,76.0,Not requiring assistance or intervention,Meeting or exceeding targets,71.0,75.0
Watertown: Watertown High,03140505,Public School,Watertown,MA,02472,"09,10,11,12",Watertown,03140000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     164,     185,     150,     153,       7,     659,     260,  39.5,      51,   7.7,     138,  20.9, , ,     315,  47.8,     189,  28.7,4.9,7.6,19.0,64.2,0.8,0.0,3.6,51.4,48.6,     415,13.4,        674,69.6,98.6,9.5,81.5,96.3,89.9,"     $21,926,120","  $83,624",    262.2,90.0,89.0,98.9,  19.1,  77.5,   2.2,   1.1,"          $55,747,752.54","           2,644.8","              $21,078.25","          $62,615,504.23","           2,792.5","              $22,422.74",       160,90.6,5.0,0.0,0.0,4.4,0.0,     652,10.0,1.5,151.0,114.0,75.5,0.0,29.8,11.9,33.8,11.9,7.3,19.9,63.599999999999994,151.0,106.0,70.2,     102,     162,59.0,30.0,10.0,2.0,1.0,4.0,21.0,42.0,49.0,46.0,15.4,84.6,163.0,548.0,561.0,         306,         184,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Substantial progress toward targets,55.0,63.0
Watertown: Watertown Middle,03140305,Public School,Watertown,MA,02472,"06,07,08",Watertown,03140000,Public School District,       0,       0,       0,       0,       0,       0,       0,     202,     173,     185,       0,       0,       0,       0,       0,     560,     177,  31.6,      40,   7.1,     117,  20.9, , ,     277,  49.5,     155,  27.7,4.8,7.7,12.3,70.0,0.7,0.2,4.3,51.8,48.2,     401,17.0,        579,58.1,94.8,9.6,81.3,92.9,85.0,"     $21,926,120","  $83,624",    262.2,67.0,65.0,97.0,  10.8,  86.2,   3.1,   0.0,"          $55,747,752.54","           2,644.8","              $21,078.25","          $62,615,504.23","           2,792.5","              $22,422.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         259,47.0,          42,8.0,         217,40.0,         221,40.0,          67,12.0,         547,497.4,46.3,         518,31.0,         249,46.0,          25,5.0,         224,41.0,         236,43.0,          61,11.0,         546,495.8,48.1,         520,35.0,Not requiring assistance or intervention,Moderate progress toward targets,29.0,40.0
Wayland: Claypit Hill School,03150005,Public School,Wayland,MA,01778,"K,01,02,03,04,05",Wayland,03150000,Public School District,       0,      78,     100,      98,      87,      75,      97,       0,       0,       0,       0,       0,       0,       0,       0,     535,      56,  10.5,      36,   6.7,      81,  15.1, , ,     133,  24.9,      28,   5.2,5.6,10.3,5.6,73.5,0.0,0.4,4.7,49.2,50.8,     214,21.0,        546,41.3,100.0,13.0,82.8,95.2,97.8,"     $20,987,894","  $97,121",    216.1,55.0,55.0,100.0,  36.4,  63.6,   0.0,   0.0,"          $50,694,164.73","           2,707.1","              $18,726.37","          $53,689,167.16","           2,761.4","              $19,442.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         196,76.0,          35,14.0,         161,62.0,          55,21.0,           8,3.0,         259,512.4,53.2,         170,86.0,         197,76.0,          54,21.0,         143,55.0,          54,21.0,           8,3.0,         259,513.5,56.6,         170,92.0,Not requiring assistance or intervention,Meeting or exceeding targets,89.0,78.0
Wayland: Happy Hollow School,03150015,Public School,Wayland,MA,01778,"K,01,02,03,04,05",Wayland,03150000,Public School District,       0,      53,      65,      62,      61,      69,      65,       0,       0,       0,       0,       0,       0,       0,       0,     375,      40,  10.7,      25,   6.7,      51,  13.6, , ,      86,  22.9,      21,   5.6,5.6,12.5,3.5,71.7,0.0,0.3,6.4,50.9,49.1,     150,20.9,        377,28.1,100.0,13.3,89.0,94.3,100.0,"     $20,987,894","  $97,121",    216.1,39.0,38.0,97.4,  50.0,  50.0,   0.0,   0.0,"          $50,694,164.73","           2,707.1","              $18,726.37","          $53,689,167.16","           2,761.4","              $19,442.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         142,73.0,          33,17.0,         109,56.0,          48,25.0,           5,3.0,         195,511.7,57.2,         132,84.0,         145,74.0,          40,21.0,         105,54.0,          46,24.0,           4,2.0,         195,513.2,55.6,         132,92.0,Not requiring assistance or intervention,School of Recognition: High Achievement,91.0,89.0
Wayland: Loker School,03150020,Public School,Wayland,MA,01778,"K,01,02,03,04,05",Wayland,03150000,Public School District,       0,      39,      60,      44,      46,      41,      40,       0,       0,       0,       0,       0,       0,       0,       0,     270,      49,  18.1,      31,  11.5,      27,  10.0, , ,      67,  24.8,       8,   3.0,3.0,19.6,5.2,67.4,0.0,0.4,4.4,52.2,47.8,     108,21.2,        276,19.5,100.0,13.8,93.9,95.9,100.0,"     $20,987,894","  $97,121",    216.1,31.0,31.0,100.0,  45.2,  54.8,   0.0,   0.0,"          $50,694,164.73","           2,707.1","              $18,726.37","          $53,689,167.16","           2,761.4","              $19,442.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         101,80.0,          29,23.0,          72,57.0,          25,20.0,           1,1.0,         127,515.5,65.5,          80,92.0,         101,80.0,          32,25.0,          69,54.0,          25,20.0,           1,1.0,         127,515.8,62.9,          80,95.0,Not requiring assistance or intervention,Meeting or exceeding targets,98.0,90.0
Wayland: The Children's Way Preschool,03150025,Public School,Wayland,MA,01778,PK,Wayland,03150000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $20,987,894","  $97,121",    216.1,,,,,,,,"          $50,694,164.73","           2,707.1","              $18,726.37","          $53,689,167.16","           2,761.4","              $19,442.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayland: Wayland High School,03150505,Public School,Wayland,MA,01778,"09,10,11,12",Wayland,03150000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     199,     235,     208,     204,       0,     846,      92,  10.9,      13,   1.5,     184,  21.7, , ,     223,  26.4,      48,   5.7,4.4,17.6,4.6,67.6,0.0,0.1,5.7,51.9,48.1,     416,15.2,        846,70.9,99.4,11.9,90.8,97.3,90.9,"     $20,987,894","  $97,121",    216.1,98.0,98.0,100.0,  16.3,  83.7,   0.0,   0.0,"          $50,694,164.73","           2,707.1","              $18,726.37","          $53,689,167.16","           2,761.4","              $19,442.73",       204,98.5,0.5,0.0,1.0,0.0,0.0,     846,0.0,0.0,202.0,188.0,93.1,0.0,61.4,2.5,29.2,2.0,4.0,14.4,90.6,202.0,167.0,82.7,     257,     497,131.0,56.0,36.0,24.0,10.0,9.0,37.0,107.0,123.0,221.0,9.3,90.7,204.0,618.0,638.0,         410,         356,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Meeting or exceeding targets,88.0,83.0
