School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Quincy: Lincoln-Hancock Community School,02430035,Public School,Quincy,MA,02169,"K,01,02,03,04",Quincy,02430000,Public School District,     140,     115,      97,     103,      70,      96,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     621,     212,  34.1,     107,  17.2,     119,  19.2, , , , ,  12.4,  28.2,   8.9,  45.4,   0.8,   0.2,   4.2,  56.8,  43.2,      77,28.9,        622,44.7,100.0,     187,100.0,  13.9 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Quincy: Merrymount,02430060,Public School,Quincy,MA,02169,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      73,      65,      78,      60,      40,      54,       0,       0,       0,       0,       0,       0,       0,0.0,     370,      67,  18.1,      40,  10.8,      36,   9.7, , , , ,   3.8,  14.1,   1.9,  78.1,   0.5,   0.0,   1.6,  56.2,  43.8,      53,29.6,        370,22.4,100.0,     116,100.0,  16.5 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
Quincy: Montclair,02430065,Public School,Quincy,MA,02171,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      69,      72,      56,      67,      46,      71,       0,       0,       0,       0,       0,       0,       0,0.0,     381,     200,  52.5,     164,  43.0,      31,   8.1, , , , ,   2.9,  53.3,   2.6,  37.5,   0.3,   0.3,   3.1,  49.1,  50.9,      66,26.8,        381,27.0,100.0,     132,100.0,  14.1 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
Quincy: North Quincy High,02430510,Public School,Quincy,MA,02171,"09,10,11,12",Quincy,02430000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     308,     263,     342,     361,1.0,"   1,275",     480,  37.6,      47,   3.7,     167,  13.1, , , , ,   3.9,  42.2,   3.1,  49.4,   0.4,   0.0,   1.0,  50.2,  49.8,     500,16.2,"      1,272",82.3,97.8,     435,100.0,  15.5 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",       384,94.0,2.6,0.0,0.3,2.9,0.3,"   1,274",18.0,1.4,,,,,,,,,,,365.0,328.0,89.9,186.0,     360,86.0,61.0,17.0,12.0,10.0,19.0,48.0,86.0,119.0,88.0,18.6,81.4,299.0,486.0,530.0,64.0
Quincy: Point Webster Middle,02430325,Public School,Quincy,MA,02169,"PK,05,06,07,08",Quincy,02430000,Public School District,       0,       0,       0,       0,       0,       0,     105,      89,      96,      98,       0,       0,       0,       0,0.0,     388,      98,  25.3,      13,   3.4,      91,  23.5, , , , ,  10.6,  25.3,   7.5,  52.6,   0.5,   0.3,   3.4,  52.1,  47.9,     186,18.8,        385,29.5,100.0,     155,100.0,  13.1 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
Quincy: Quincy High,02430505,Public School,Quincy,MA,02169,"09,10,11,12",Quincy,02430000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     388,     428,     417,     288,0.0,"   1,521",     449,  29.5,     176,  11.6,     220,  14.5, , , , ,   9.5,  27.0,   6.0,  55.2,   0.7,   0.1,   1.4,  51.7,  48.3,     639,16.4,"      1,499",106.4,99.1,     512,100.0,  14.3 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",       339,85.5,5.6,0.3,0.9,7.4,0.3,"   1,521",33.0,2.2,,,,,,,,,,,308.0,279.0,90.6,126.0,     247,53.0,38.0,25.0,7.0,3.0,24.0,55.0,66.0,56.0,46.0,32.0,68.0,199.0,430.0,512.0,27.0
Quincy: Snug Harbor Community School,02430090,Public School,Quincy,MA,02169,"PK,K,01,02,03,04,05",Quincy,02430000,Public School District,     127,      53,      57,      48,      47,      44,      39,       0,       0,       0,       0,       0,       0,       0,0.0,     415,     170,  41.0,      62,  14.9,     127,  30.6, , , , ,  13.0,  35.7,   5.5,  41.9,   0.0,   0.2,   3.6,  59.0,  41.0,      66,21.0,        415,31.2,100.0,     141,100.0,  13.3 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
Quincy: South West Middle School,02430320,Public School,Quincy,MA,02169,"05,06,07,08",Quincy,02430000,Public School District,       0,       0,       0,       0,       0,       0,      82,      93,      92,      88,       0,       0,       0,       0,0.0,     355,      79,  22.3,      20,   5.6,      67,  18.9, , , , ,  12.7,  18.9,  13.5,  49.6,   0.6,   0.3,   4.5,  51.8,  48.2,     221,14.6,        355,28.6,100.0,     194,100.0,  12.4 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
Quincy: Squantum,02430095,Public School,Quincy,MA,02171,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      79,      63,      71,      47,      47,      57,       0,       0,       0,       0,       0,       0,       0,0.0,     364,      85,  23.4,      37,  10.2,      73,  20.1, , , , ,   3.3,  20.1,   3.3,  69.8,   0.5,   0.0,   3.0,  51.6,  48.4,      52,29.6,        364,23.4,100.0,     118,100.0,  15.6 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0
Quincy: Wollaston School,02430110,Public School,Quincy,MA,02170,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      49,      68,      57,      51,      46,      44,       0,       0,       0,       0,       0,       0,       0,0.0,     315,     140,  44.4,      93,  29.5,      21,   6.7, , , , ,   3.5,  50.8,   1.0,  42.9,   0.0,   0.3,   1.6,  52.1,  47.9,      65,21.7,        315,21.8,100.0,     111,100.0,  14.5 to 1,"     $50,121,264","  $78,696",    636.9,"         $119,398,904.85","           9,137.8","              $13,066.48","         $132,331,570.29","           9,305.4","              $14,220.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
Ralph C Mahar: Ralph C Mahar Regional,07550505,Public School,Orange,MA,01364,"07,08,09,10,11,12",Ralph C Mahar,07550000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     125,     155,     139,     126,      99,      96,2.0,     742,       3,   0.4,       2,   0.3,     121,  16.3, , , , ,   0.9,   1.3,   2.8,  90.7,   0.3,   0.0,   3.9,  53.2,  46.8,     365,14.6,        740,65.3,99.0,     544,100.0,  11.4 to 1,"      $3,694,075","  $56,571",     65.3,"          $11,115,282.00",             829.5,"              $13,399.98","          $12,862,159.00",             938.0,"              $13,712.32",       116,78.4,5.2,0.0,3.4,12.9,0.0,     460,18.0,3.9,,,,,,,,,,,98.0,98.0,100.0,30.0,      46,18.0,10.0,0.0,2.0,0.0,8.0,12.0,12.0,11.0,3.0,43.5,56.5,62.0,462.0,495.0,26.0
Randolph: Elizabeth G Lyons Elementary,02440020,Public School,Randolph,MA,02368,"K,01,02,03,04,05",Randolph,02440000,Public School District,       0,      42,      41,      50,      70,      54,      47,       0,       0,       0,       0,       0,       0,       0,0.0,     304,     104,  34.2,      30,   9.9,      46,  15.1, , , , ,  46.1,  18.4,  10.9,  22.4,   0.0,   0.0,   2.3,  54.9,  45.1,      26,59.8,        304,24.5,100.0,     109,100.0,  12.4 to 1,"     $17,013,182","  $70,947",    239.8,"          $44,000,292.87","           2,989.5","              $14,718.28","          $52,997,135.47","           3,394.6","              $15,612.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
Randolph: J F Kennedy Elementary,02440018,Public School,Randolph,MA,02368,"PK,K,01,02,03,04,05",Randolph,02440000,Public School District,      67,      41,      52,      52,      47,      63,      47,       0,       0,       0,       0,       0,       0,       0,0.0,     369,     136,  36.9,      25,   6.8,     113,  30.6, , , , ,  49.6,  16.3,  11.9,  18.2,   0.0,   0.3,   3.8,  58.8,  41.2,      38,56.0,        369,35.0,100.0,     142,100.0,  10.5 to 1,"     $17,013,182","  $70,947",    239.8,"          $44,000,292.87","           2,989.5","              $14,718.28","          $52,997,135.47","           3,394.6","              $15,612.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Randolph: Margaret L Donovan,02440015,Public School,Randolph,MA,02368,"K,01,02,03,04,05",Randolph,02440000,Public School District,       0,      70,      59,      65,      71,      76,      68,       0,       0,       0,       0,       0,       0,       0,0.0,     409,     159,  38.9,      50,  12.2,      61,  14.9, , , , ,  46.7,  18.8,   9.0,  18.8,   0.5,   0.0,   6.1,  45.7,  54.3,      33,86.9,        409,32.0,100.0,     131,100.0,  12.8 to 1,"     $17,013,182","  $70,947",    239.8,"          $44,000,292.87","           2,989.5","              $14,718.28","          $52,997,135.47","           3,394.6","              $15,612.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
Randolph: Martin E Young Elementary,02440040,Public School,Randolph,MA,02368,"K,01,02,03,04,05",Randolph,02440000,Public School District,       0,      56,      53,      42,      65,      53,      60,       0,       0,       0,       0,       0,       0,       0,0.0,     329,     126,  38.3,      58,  17.6,      52,  15.8, , , , ,  54.4,  12.2,  10.6,  16.4,   0.3,   0.3,   5.8,  55.0,  45.0,      29,68.0,        329,28.1,100.0,     112,100.0,  11.7 to 1,"     $17,013,182","  $70,947",    239.8,"          $44,000,292.87","           2,989.5","              $14,718.28","          $52,997,135.47","           3,394.6","              $15,612.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
Randolph: Randolph Community Middle,02440410,Public School,Randolph,MA,02368,"06,07,08",Randolph,02440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     263,     249,     251,       0,       0,       0,       0,0.0,     763,     272,  35.6,      65,   8.5,     153,  20.1, , , , ,  52.8,  14.2,   6.9,  22.1,   0.7,   0.1,   3.1,  52.2,  47.8,     269,21.0,        763,58.1,100.0,     219,91.8,  13.1 to 1,"     $17,013,182","  $70,947",    239.8,"          $44,000,292.87","           2,989.5","              $14,718.28","          $52,997,135.47","           3,394.6","              $15,612.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
Randolph: Randolph High,02440505,Public School,Randolph,MA,02368,"09,10,11,12",Randolph,02440000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     196,     215,     152,     202,8.0,     773,     323,  41.8,      75,   9.7,     134,  17.3, , , , ,  58.2,  19.4,   7.6,  13.5,   0.3,   0.4,   0.6,  55.4,  44.6,     296,17.1,        773,62.2,100.0,     290,100.0,  12.4 to 1,"     $17,013,182","  $70,947",    239.8,"          $44,000,292.87","           2,989.5","              $14,718.28","          $52,997,135.47","           3,394.6","              $15,612.19",       217,71.9,12.9,1.8,0.9,12.4,0.0,     765,31.0,4.1,,,,,,,,,,,164.0,7.0,4.3,135.0,     231,64.0,50.0,17.0,4.0,0.0,84.0,58.0,45.0,33.0,11.0,61.5,38.5,131.0,426.0,462.0,34.0
Reading: Alice M Barrows,02460002,Public School,Reading,MA,01867,"K,01,02,03,04,05",Reading,02460000,Public School District,       0,      54,      66,      61,      71,      71,      66,       0,       0,       0,       0,       0,       0,       0,0.0,     389,       0,   0.0,       0,   0.0,      46,  11.8, , , , ,   0.3,   4.1,   1.0,  93.1,   0.3,   0.3,   1.0,  47.8,  52.2,      87,22.0,        389,28.2,100.0,     109,100.0,  13.8 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
Reading: Arthur W Coolidge Middle,02460305,Public School,Reading,MA,01867,"06,07,08",Reading,02460000,Public School District,       0,       0,       0,       0,       0,       0,       0,     141,     163,     162,       0,       0,       0,       0,0.0,     466,       8,   1.7,       0,   0.0,      83,  17.8, , , , ,   1.3,   3.0,   0.4,  94.0,   0.2,   0.0,   1.1,  54.3,  45.7,     128,24.0,        467,36.9,100.0,     129,100.0,  12.6 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0
Reading: Birch Meadow,02460005,Public School,Reading,MA,01867,"K,01,02,03,04,05",Reading,02460000,Public School District,       0,      65,      67,      63,      66,      79,      72,       0,       0,       0,       0,       0,       0,       0,0.0,     412,       4,   1.0,       2,   0.5,      39,   9.5, , , , ,   1.7,   4.6,   1.7,  91.3,   0.0,   0.0,   0.7,  52.9,  47.1,      92,19.6,        412,24.3,98.8,     129,100.0,  17.0 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
Reading: J Warren Killam,02460017,Public School,Reading,MA,01867,"K,01,02,03,04,05",Reading,02460000,Public School District,       0,      61,      86,      63,      84,      69,      88,       0,       0,       0,       0,       0,       0,       0,0.0,     451,      14,   3.1,       6,   1.3,      52,  11.5, , , , ,   1.8,   6.7,   0.9,  90.7,   0.0,   0.0,   0.0,  54.8,  45.2,     108,20.9,        451,30.7,100.0,     131,100.0,  14.7 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
Reading: Joshua Eaton,02460010,Public School,Reading,MA,01867,"K,01,02,03,04,05",Reading,02460000,Public School District,       0,      77,      84,      66,      70,      70,      79,       0,       0,       0,       0,       0,       0,       0,0.0,     446,       5,   1.1,       2,   0.4,      35,   7.8, , , , ,   0.4,   4.7,   1.1,  92.4,   0.0,   0.0,   1.3,  53.6,  46.4,      96,20.5,        446,25.5,100.0,     133,100.0,  17.5 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
Reading: RISE PreSchool,02460001,Public School,Reading,MA,01867,PK,Reading,02460000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading: Reading Memorial High,02460505,Public School,Reading,MA,01867,"09,10,11,12",Reading,02460000,Public School District,     100,       0,       0,       0,       0,       0,       0,       0,       0,       0,     312,     327,     326,     297,0.0,"   1,362",      26,   1.9,       1,   0.1,     283,  20.8, , , , ,   2.3,   3.5,   1.8,  91.1,   0.3,   0.1,   1.0,  50.4,  49.6,     485,18.3,"      1,355",90.0,100.0,     373,98.7,  15.1 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",       292,96.9,1.4,0.3,0.3,1.0,0.0,"   1,262",5.0,0.4,,,,,,,,,,,284.0,200.0,70.4,145.0,     305,71.0,27.0,25.0,10.0,12.0,11.0,24.0,60.0,93.0,117.0,11.5,88.5,270.0,549.0,563.0,73.0
Reading: Walter S Parker Middle,02460310,Public School,Reading,MA,01867,"06,07,08",Reading,02460000,Public School District,       0,       0,       0,       0,       0,       0,       0,     170,     227,     187,       0,       0,       0,       0,0.0,     584,      15,   2.6,       4,   0.7,     120,  20.5, , , , ,   1.7,   4.6,   1.2,  90.9,   0.2,   0.0,   1.4,  51.0,  49.0,     213,22.7,        584,46.8,100.0,     187,100.0,  12.5 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0
Reading: Wood End Elementary School,02460020,Public School,Reading,MA,01867,"K,01,02,03,04,05",Reading,02460000,Public School District,       0,      62,      59,      62,      65,      58,      61,       0,       0,       0,       0,       0,       0,       0,0.0,     367,       0,   0.0,       0,   0.0,      51,  13.9, , , , ,   6.3,   2.2,   1.9,  88.0,   0.0,   0.0,   1.6,  52.9,  47.1,      87,20.3,        367,24.3,100.0,     113,100.0,  15.1 to 1,"     $19,994,916","  $65,194",    306.7,"          $45,628,143.00","           4,452.7","              $10,247.30","          $50,038,375.00","           4,527.8","              $11,051.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
Revere: A. C. Whelan Elementary School,02480003,Public School,Revere,MA,02151,"K,01,02,03,04,05",Revere,02480000,Public School District,       0,     100,     125,     117,     142,     138,     124,       0,       0,       0,       0,       0,       0,       0,0.0,     746,     256,  34.3,      70,   9.4,     104,  13.9, , , , ,   3.8,   6.3,  26.5,  59.2,   0.4,   0.1,   3.6,  49.7,  50.3,     325,22.0,        746,47.5,100.0,     457,100.0,  15.7 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
Revere: Abraham Lincoln,02480025,Public School,Revere,MA,02151,"PK,K,01,02,03,04,05",Revere,02480000,Public School District,      60,      76,      93,     101,     107,      89,      77,       0,       0,       0,       0,       0,       0,       0,0.0,     603,     268,  44.4,      80,  13.3,     126,  20.9, , , , ,   5.1,   3.6,  38.1,  48.9,   0.5,   0.2,   3.5,  50.7,  49.3,     237,19.8,        604,34.8,97.1,     326,100.0,  17.3 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
Revere: Beachmont Veterans Memorial School,02480013,Public School,Revere,MA,02151,"PK,K,01,02,03,04,05",Revere,02480000,Public School District,      32,      58,      55,      54,      48,      58,      40,       0,       0,       0,       0,       0,       0,       0,0.0,     345,     184,  53.3,      67,  19.4,      56,  16.2, , , , ,   2.9,   3.5,  42.0,  47.5,   0.6,   0.0,   3.5,  47.0,  53.0,     135,19.3,        341,23.7,100.0,     275,100.0,  14.5 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
Revere: CityLab Innovation High School,02480520,Public School,Revere,MA,02151,"09,10,11,12",Revere,02480000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      59,      52,      19,      11,0.0,     141,      48,  34.0,       5,   3.5,      45,  31.9, , , , ,   6.4,   4.3,  45.4,  41.8,   0.0,   0.0,   2.1,  71.6,  28.4,      61,14.8,        137,12.5,92.0,     111,96.4,  11.3 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",        53,18.9,20.8,1.9,11.3,47.2,0.0,     141,55.0,39.0,,,,,,,,,,,19.0,19.0,100.0,,,,,,,,,,,,,,,3.0,,,
Revere: Garfield Elementary School,02480056,Public School,Revere,MA,02151,"PK,K,01,02,03,04,05",Revere,02480000,Public School District,      81,     118,     120,     125,     113,     111,     122,       0,       0,       0,       0,       0,       0,       0,0.0,     790,     507,  64.2,     121,  15.3,     129,  16.3, , , , ,   3.9,  11.0,  57.0,  24.3,   0.6,   0.3,   2.9,  48.9,  51.1,     292,19.9,        784,50.6,100.0,     518,100.0,  15.6 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
Revere: Garfield Middle School,02480057,Public School,Revere,MA,02151,"06,07,08",Revere,02480000,Public School District,       0,       0,       0,       0,       0,       0,       0,     157,     162,     142,       0,       0,       0,       0,0.0,     461,     264,  57.3,      41,   8.9,      50,  10.8, , , , ,   6.1,   6.5,  51.8,  33.2,   0.4,   0.2,   1.7,  54.0,  46.0,     218,18.8,        461,36.5,100.0,     186,100.0,  12.6 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
Revere: Paul Revere,02480050,Public School,Revere,MA,02151,"K,01,02,03,04,05",Revere,02480000,Public School District,       0,      65,      79,      55,      78,      61,      72,       0,       0,       0,       0,       0,       0,       0,0.0,     410,     186,  45.4,      75,  18.3,      56,  13.7, , , , ,   5.4,   2.7,  39.5,  49.3,   1.2,   0.0,   2.0,  49.0,  51.0,     171,20.3,        407,24.4,100.0,     274,100.0,  16.8 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
Revere: Revere High,02480505,Public School,Revere,MA,02151,"09,10,11,12",Revere,02480000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     397,     370,     406,     339,18.0,"   1,530",     716,  46.8,     115,   7.5,     179,  11.7, , , , ,   3.5,   7.5,  40.7,  43.8,   0.7,   0.0,   3.9,  50.0,  50.0,     330,18.5,"      1,526",117.1,99.1,     621,100.0,  13.1 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",       387,85.8,7.2,1.0,0.8,5.2,0.0,"   1,512",31.0,2.1,,,,,,,,,,,353.0,353.0,100.0,216.0,     325,128.0,71.0,14.0,2.0,1.0,66.0,66.0,77.0,69.0,47.0,40.6,59.4,258.0,442.0,460.0,18.0
Revere: Rumney Marsh Academy,02480014,Public School,Revere,MA,02151,"06,07,08",Revere,02480000,Public School District,       0,       0,       0,       0,       0,       0,       0,     187,     168,     168,       0,       0,       0,       0,0.0,     523,     205,  39.2,       2,   0.4,     101,  19.3, , , , ,   3.3,   5.2,  37.9,  49.9,   0.2,   0.0,   3.6,  55.1,  44.9,     233,17.3,        523,46.0,100.0,     236,100.0,  11.4 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
Revere: Staff Sargent James J. Hill Elementary School,02480035,Public School,Revere,MA,02151,"K,01,02,03,04,05",Revere,02480000,Public School District,       0,      76,      82,      78,      77,      70,     100,       0,       0,       0,       0,       0,       0,       0,0.0,     483,     310,  64.2,      99,  20.5,      43,   8.9, , , , ,   3.5,   5.8,  54.2,  34.0,   1.0,   0.0,   1.4,  52.4,  47.6,     162,25.4,        483,28.9,100.0,     232,100.0,  16.7 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
Revere: Susan B. Anthony Middle School,02480305,Public School,Revere,MA,02151,"06,07,08",Revere,02480000,Public School District,       0,       0,       0,       0,       0,       0,       0,     171,     171,     145,       0,       0,       0,       0,0.0,     487,     213,  43.7,      43,   8.8,      78,  16.0, , , , ,   5.7,   4.7,  43.5,  43.1,   0.4,   0.0,   2.5,  46.2,  53.8,     165,23.1,        487,36.4,100.0,     101,100.0,  13.4 to 1,"     $34,824,194","  $76,002",    458.2,"          $81,969,197.25","           6,513.1","              $12,585.28","          $89,839,168.25","           6,766.7","              $13,276.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
Richmond: Richmond Consolidated,02490005,Public School,Richmond,MA,01254,"PK,K,01,02,03,04,05,06,07,08",Richmond,02490000,Public School District,      16,      20,      12,      16,      19,      23,      16,      11,      25,      23,       0,       0,       0,       0,0.0,     181,       6,   3.3,       2,   1.1,      13,   7.2, , , , ,   1.1,   1.7,   4.4,  91.7,   0.6,   0.0,   0.6,  45.3,  54.7,      90,16.2,        180,19.8,100.0,      88,100.0,   9.1 to 1,"      $1,362,594","  $68,818",     19.8,"           $2,791,434.00",             176.6,"              $15,806.53","           $3,424,707.00",             242.2,"              $14,140.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
