School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Plymouth: Hedge,02390010,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,       0,      32,      33,      59,      51,      25,      23,       0,       0,       0,       0,       0,       0,       0,       0,     223,      32,14.3,      12,5.4,      36,16.1, , ,     123,55.2,     103,46.2,4.5,2.2,6.3,78.0,0.0,0.0,9.0,51.1,48.9,     125,19.4,        231,19.2,100.0,     105,100.0,11.6,"     $41,136,945","  $66,619",    617.5,32.0,      18,  56.3,  16.7,  77.8,   5.6,   0.0,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
Plymouth: Indian Brook,02390012,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,       0,      71,      99,      93,     139,     105,     103,       0,       0,       0,       0,       0,       0,       0,       0,     610,       2,0.3,       2,0.3,      92,15.1, , ,     166,27.2,      90,14.8,0.2,0.3,1.6,95.4,0.2,0.0,2.3,52.3,47.7,     320,20.4,        609,40.9,100.0,     260,100.0,14.9,"     $41,136,945","  $66,619",    617.5,52.0,      24,  46.2,  12.5,  79.2,   8.3,   0.0,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
Plymouth: Manomet Elementary,02390015,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,       0,      51,      53,      51,      62,      59,      47,       0,       0,       0,       0,       0,       0,       0,       0,     323,       0,0.0,       0,0.0,      63,19.5, , ,     121,37.5,      76,23.5,0.6,1.2,0.6,92.9,0.0,0.0,4.6,56.0,44.0,     188,19.5,        327,25.2,96.0,     154,95.5,12.8,"     $41,136,945","  $66,619",    617.5,34.0,      25,  73.5,  20.0,  80.0,   0.0,   0.0,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
Plymouth: Nathaniel Morton Elementary,02390030,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,       0,     111,      83,     108,     108,     100,     100,       0,       0,       0,       0,       0,       0,       0,       0,     610,      31,5.1,      13,2.1,      94,15.4, , ,     196,32.1,     126,20.7,0.8,2.6,2.8,89.7,0.0,0.0,4.1,48.4,51.6,     329,19.6,        613,41.0,100.0,     292,100.0,14.9,"     $41,136,945","  $66,619",    617.5,52.0,      30,  57.7,  40.0,  56.7,   3.3,   0.0,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
Plymouth: Plymouth Commun Intermediate,02390405,Public School,Plymouth,MA,02360,"06,07,08",Plymouth,02390000,Public School District,       0,       0,       0,       0,       0,       0,       0,     312,     344,     330,       0,       0,       0,       0,       0,     986,      30,3.0,      10,1.0,     176,17.8, , ,     329,33.4,     204,20.7,2.0,1.6,4.1,87.2,0.2,0.0,4.9,48.6,51.4,     534,20.2,"      1,006",78.4,100.0,     367,91.0,12.6,"     $41,136,945","  $66,619",    617.5,97.0,      76,  78.4,  18.4,  69.7,   5.3,   6.6,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
Plymouth: Plymouth Early Childhood Center,02390003,Public School,Plymouth,MA,02360,PK,Plymouth,02390000,Public School District,      78,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      78,       0,0.0,       0,0.0,      48,61.5, , ,      49,62.8,      15,19.2,2.6,1.3,1.3,91.0,0.0,0.0,3.8,52.6,47.4,      11,11.9,        131,6.0,100.0,      19,89.5,13.0,"     $41,136,945","  $66,619",    617.5,9.0,       4,  44.4,-,-,-,-,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Plymouth North High,02390505,Public School,Plymouth,MA,02360,"09,10,11,12",Plymouth,02390000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     341,     321,     374,     249,       0,"   1,285",      32,2.5,      17,1.3,     227,17.7, , ,     409,31.8,     245,19.1,3.2,1.6,4.2,87.8,0.4,0.0,2.9,49.4,50.6,     712,16.3,"      1,250",96.6,99.0,     443,93.5,13.3,"     $41,136,945","  $66,619",    617.5,110.0,      77,  70.0,   5.2,  66.2,  20.8,   7.8,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",282.0,86.2,6.4,1.4,2.5,3.5,0.0,"   1,285",13.0,1.0,251.0,183.0,72.9,0.0,31.5,12.0,29.5,11.2,9.6,9.6,61.0,251.0,205.0,81.7,206.0,     373,94.0,65.0,39.0,8.0,0.0,66.0,80.0,99.0,84.0,44.0,39.1,60.9,244.0,483.0,495.0,27.0
Plymouth: Plymouth South High,02390515,Public School,Plymouth,MA,02360,"09,10,11,12",Plymouth,02390000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     279,     236,     257,     301,       0,"   1,073",       6,0.6,       0,0.0,     204,19.0, , ,     311,29.0,     154,14.4,1.8,1.1,2.1,91.4,0.7,0.2,2.6,53.3,46.7,     721,13.4,"      1,046",109.8,98.2,     357,95.5,9.8,"     $41,136,945","  $66,619",    617.5,132.0,      83,  62.9,  27.7,  56.6,  13.3,   2.4,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",316.0,91.8,3.2,0.6,1.6,2.8,0.0,"   1,073",12.0,1.1,296.0,177.0,59.8,0.3,16.2,15.2,28.0,14.5,10.1,11.5,44.2,296.0,211.0,71.3,161.0,     336,71.0,37.0,30.0,15.0,8.0,47.0,66.0,111.0,76.0,36.0,33.6,66.4,285.0,465.0,479.0,39.0
Plymouth: Plymouth South Middle,02390305,Public School,Plymouth,MA,02360,"06,07,08",Plymouth,02390000,Public School District,       0,       0,       0,       0,       0,       0,     114,     252,     232,     248,       0,       0,       0,       0,       0,     846,       4,0.5,       0,0.0,     162,19.1, , ,     258,30.5,     137,16.2,1.3,1.1,1.1,92.9,0.2,0.1,3.3,51.3,48.7,     452,20.6,        865,66.0,98.5,     332,91.9,12.8,"     $41,136,945","  $66,619",    617.5,77.0,      30,  39.0,  26.7,  63.3,  10.0,   0.0,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
Plymouth: South Elementary,02390046,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,      50,     110,     111,     112,     122,     138,       0,       0,       0,       0,       0,       0,       0,       0,       0,     643,       3,0.5,       0,0.0,     105,16.3, , ,     204,31.7,     122,19.0,1.2,0.6,3.3,90.7,0.6,0.2,3.4,51.5,48.5,     329,19.3,        647,41.8,100.0,     285,100.0,15.4,"     $41,136,945","  $66,619",    617.5,51.0,      42,  82.4,   7.1,  85.7,   7.1,   0.0,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
Plymouth: West Elementary,02390047,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,       0,      43,      60,      76,      70,      51,      64,       0,       0,       0,       0,       0,       0,       0,       0,     364,       5,1.4,       2,0.5,      77,21.2, , ,     127,34.9,      73,20.1,2.2,1.1,2.2,90.9,0.0,0.0,3.6,56.6,43.4,     283,13.7,        364,31.7,100.0,     269,74.0,11.5,"     $41,136,945","  $66,619",    617.5,44.0,      33,  75.0,  36.4,  39.4,  24.2,   0.0,"         $111,686,605.00","           7,700.4","              $14,504.00","         $125,135,832.00","           8,378.9","              $14,934.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
Plympton: Dennett Elementary,02400010,Public School,Plympton,MA,02367,"K,01,02,03,04,05,06",Plympton,02400000,Public School District,       0,      21,      29,      29,      32,      31,      38,      36,       0,       0,       0,       0,       0,       0,       0,     216,       0,0.0,       0,0.0,      25,11.6, , ,      62,28.7,      42,19.4,0.0,0.5,0.5,98.6,0.0,0.0,0.5,48.6,51.4,     105,15.2,        220,18.2,100.0,      87,100.0,11.9,"      $1,304,162","  $71,657",     18.2,23.0,      23, 100.0,-,-,-,-,"           $2,928,459.00",             217.9,"              $13,439.46","           $3,778,225.00",             233.7,"              $16,166.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
Prospect Hill Academy Charter (District): Prospect Hill Academy Charter School,04870550,Charter School,Cambridge,MA,02139,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Prospect Hill Academy Charter (District),04870000,Charter District,       0,      84,      88,      88,      90,      97,      96,      97,      94,      97,      91,      76,      88,      63,       0,"   1,149",     457,39.8,     122,10.6,     180,15.7, , ,     581,50.6,     413,35.9,57.6,7.1,18.7,12.8,0.4,0.2,3.1,49.8,50.2,     465,21.6,"      1,153",87.4,73.3,     395,88.4,13.1,,,,135.0,      55,  40.7,  10.9,  65.5,  23.6,   0.0,,,,,,,65.0,92.3,6.2,0.0,0.0,1.5,0.0,     318,2.0,0.6,70.0,63.0,90.0,0.0,50.0,10.0,30.0,10.0,18.6,10.0,80.0,70.0,70.0,100.0,77.0,     154,32.0,25.0,10.0,8.0,2.0,68.0,35.0,25.0,14.0,12.0,66.9,33.1,62.0,492.0,484.0,39.0
Provincetown: Provincetown Schools,02420020,Public School,Provincetown,MA,02657,"PK,K,01,02,03,04,05,06,07,08",Provincetown,02420000,Public School District,      19,      11,      15,       5,       6,      14,       8,      15,       8,      10,       0,       0,       0,       0,       0,     111,      10,9.0,       3,2.7,      24,21.6, , ,      55,49.5,      33,29.7,13.5,0.9,12.6,59.5,0.0,0.0,13.5,45.0,55.0,     109,11.7,        120,19.0,97.1,      89,95.5,5.8,"      $1,513,916","  $79,680",     19.0,21.0,      21, 100.0,  66.7,  28.6,   0.0,   4.8,"           $4,351,212.00",             112.2,"              $38,780.85","           $5,396,344.00",             176.9,"              $30,505.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
Quabbin: Hardwick Elementary,07530005,Public School,Gilbertville,MA,01031,"PK,K,01,02,03,04,05",Quabbin,07530000,Public School District,       0,      20,      36,      34,      29,      30,      35,      30,       0,       0,       0,       0,       0,       0,       0,     214,       1,0.5,       0,0.0,      42,19.6, , ,      91,42.5,      71,33.2,0.5,0.0,6.5,92.1,0.5,0.0,0.5,56.1,43.9,      79,17.3,        216,15.3,100.0,      83,100.0,14.0,"     $12,124,118","  $72,643",    166.9,23.0,      23, 100.0,  26.1,  69.6,   4.3,   0.0,"          $32,595,578.00","           2,445.2","              $13,330.43","          $36,340,071.00","           2,603.7","              $13,957.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
Quabbin: Hubbardston Center,07530010,Public School,Hubbardston,MA,01452,"PK,K,01,02,03,04,05",Quabbin,07530000,Public School District,       0,      39,      45,      40,      43,      44,      40,      61,       0,       0,       0,       0,       0,       0,       0,     312,       0,0.0,       0,0.0,      51,16.3, , ,      76,24.4,      33,10.6,0.3,0.0,2.6,96.8,0.0,0.0,0.3,43.6,56.4,      96,21.2,        318,21.5,100.0,      98,100.0,14.5,"     $12,124,118","  $72,643",    166.9,24.0,      24, 100.0,  16.7,  83.3,   0.0,   0.0,"          $32,595,578.00","           2,445.2","              $13,330.43","          $36,340,071.00","           2,603.7","              $13,957.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
Quabbin: New Braintree Grade,07530020,Public School,New Braintree,MA,01531,PK,Quabbin,07530000,Public School District,      75,      33,      24,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     132,       0,0.0,       0,0.0,      33,25.0, , ,      51,38.6,      29,22.0,0.0,0.0,7.6,90.9,0.0,0.0,1.5,43.2,56.8,      26,14.7,        145,6.9,100.0,      36,100.0,19.2,"     $12,124,118","  $72,643",    166.9,15.0,      14,  93.3,  35.7,  64.3,   0.0,   0.0,"          $32,595,578.00","           2,445.2","              $13,330.43","          $36,340,071.00","           2,603.7","              $13,957.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quabbin: Oakham Center,07530025,Public School,Oakham,MA,01068,"K,01,02,03,04,05",Quabbin,07530000,Public School District,       0,       0,       0,      26,      29,      40,      43,      47,       0,       0,       0,       0,       0,       0,       0,     185,       2,1.1,       1,0.5,      43,23.2, , ,      64,34.6,      32,17.3,0.0,1.6,3.8,93.5,0.0,0.0,1.1,48.1,51.9,      78,17.7,        191,13.6,100.0,      64,100.0,13.6,"     $12,124,118","  $72,643",    166.9,19.0,      18,  94.7,  16.7,  83.3,   0.0,   0.0,"          $32,595,578.00","           2,445.2","              $13,330.43","          $36,340,071.00","           2,603.7","              $13,957.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
Quabbin: Quabbin Regional High School,07530505,Public School,Barre,MA,01005,"09,10,11,12",Quabbin,07530000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     217,     175,     181,     188,       0,     761,       5,0.7,       2,0.3,      95,12.5, , ,     194,25.5,     120,15.8,1.7,1.2,4.3,90.0,0.1,0.0,2.6,48.0,52.0,     384,15.9,        747,50.0,96.0,     256,100.0,15.2,"     $12,124,118","  $72,643",    166.9,71.0,      70,  98.6,   5.7,  91.4,   2.9,   0.0,"          $32,595,578.00","           2,445.2","              $13,330.43","          $36,340,071.00","           2,603.7","              $13,957.09",191.0,83.8,5.8,0.5,1.0,8.9,0.0,     761,29.0,3.8,173.0,131.0,75.7,0.0,22.0,24.3,29.5,24.3,11.6,4.0,51.5,173.0,173.0,100.0,116.0,     158,84.0,24.0,7.0,0.0,1.0,33.0,41.0,53.0,28.0,3.0,46.8,53.2,116.0,518.0,538.0,53.0
Quabbin: Quabbin Regional Middle School,07530405,Public School,Barre,MA,01005,"06,07,08",Quabbin,07530000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     200,     205,       0,       0,       0,       0,       0,     405,       3,0.7,       0,0.0,      53,13.1, , ,     105,25.9,      63,15.6,0.5,1.0,3.2,93.1,0.0,0.0,2.2,51.4,48.6,     153,19.3,        401,27.9,100.0,     110,96.4,14.5,"     $12,124,118","  $72,643",    166.9,36.0,      36, 100.0,   5.6,  91.7,   2.8,   0.0,"          $32,595,578.00","           2,445.2","              $13,330.43","          $36,340,071.00","           2,603.7","              $13,957.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
Quabbin: Ruggles Lane,07530030,Public School,Barre,MA,01005,"PK,K,01,02,03,04,05",Quabbin,07530000,Public School District,       0,      70,      52,      51,      69,      59,      61,      56,       0,       0,       0,       0,       0,       0,       0,     418,       2,0.5,       2,0.5,      82,19.6, , ,     175,41.9,     122,29.2,0.0,0.7,4.8,91.6,0.0,0.2,2.6,47.6,52.4,     114,22.5,        410,24.3,100.0,     119,100.0,17.2,"     $12,124,118","  $72,643",    166.9,29.0,      29, 100.0,  17.2,  82.8,   0.0,   0.0,"          $32,595,578.00","           2,445.2","              $13,330.43","          $36,340,071.00","           2,603.7","              $13,957.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
Quaboag Regional: Quaboag Integrated Preschool,07780001,Public School,Warren,MA,01083,PK,Quaboag Regional,07780000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $6,343,867","  $68,731",     92.3,,,,,,,,"          $16,620,375.00","           1,382.2","              $12,024.58","          $17,794,713.00","           1,481.3","              $12,012.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaboag Regional: Quaboag Regional High,07780505,Public School,Warren,MA,01083,"09,10,11,12",Quaboag Regional,07780000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      91,     107,      97,      88,       0,     383,      21,5.5,       5,1.3,      55,14.4, , ,     145,37.9,     111,29.0,1.6,1.8,6.8,88.0,1.3,0.0,0.5,51.2,48.8,     213,14.1,        381,29.2,99.6,     125,100.0,13.1,"      $6,343,867","  $68,731",     92.3,48.0,      47,  97.9,  36.2,  61.7,   2.1,   0.0,"          $16,620,375.00","           1,382.2","              $12,024.58","          $17,794,713.00","           1,481.3","              $12,012.90",91.0,81.3,12.1,2.2,1.1,3.3,0.0,     383,5.0,1.3,77.0,47.0,61.0,0.0,24.7,11.7,24.7,11.7,13.0,9.1,49.4,77.0,77.0,100.0,101.0,     169,54.0,32.0,11.0,2.0,2.0,35.0,58.0,47.0,20.0,9.0,55.0,45.0,47.0,521.0,517.0,55.0
Quaboag Regional: Quaboag Regional Middle Innovation School,07780305,Public School,Warren,MA,01083,"07,08",Quaboag Regional,07780000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,      95,     129,       0,       0,       0,       0,       0,     224,       4,1.8,       3,1.3,      35,15.6, , ,      96,42.9,      72,32.1,3.1,0.4,4.0,92.4,0.0,0.0,0.0,55.8,44.2,     132,18.4,        229,14.9,100.0,      89,100.0,15.0,"      $6,343,867","  $68,731",     92.3,33.0,      33, 100.0,  30.3,  63.6,   6.1,   0.0,"          $16,620,375.00","           1,382.2","              $12,024.58","          $17,794,713.00","           1,481.3","              $12,012.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaboag Regional: Warren Elementary,07780005,Public School,West Warren,MA,01092,"K,01,02,03,04,05,06",Quaboag Regional,07780000,Public School District,      28,      65,      45,      58,      68,      67,      62,      82,       0,       0,       0,       0,       0,       0,       0,     475,       4,0.8,       3,0.6,      74,15.6, , ,     221,46.5,     184,38.7,0.8,0.0,7.8,88.8,0.0,0.0,2.5,48.6,51.4,     160,21.8,        487,29.9,88.6,     156,100.0,15.9,"      $6,343,867","  $68,731",     92.3,39.0,      30,  76.9,   3.3,  93.3,   3.3,   0.0,"          $16,620,375.00","           1,382.2","              $12,024.58","          $17,794,713.00","           1,481.3","              $12,012.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
Quaboag Regional: West Brookfield Elementary,07780010,Public School,West Brookfield,MA,01585,"K,01,02,03,04,05,06",Quaboag Regional,07780000,Public School District,      22,      38,      34,      35,      40,      48,      41,      49,       0,       0,       0,       0,       0,       0,       0,     307,       0,0.0,       0,0.0,      38,12.4, , ,      97,31.6,      74,24.1,1.3,0.3,2.0,95.4,0.3,0.0,0.7,50.8,49.2,     107,21.3,        314,18.3,94.6,     103,100.0,16.8,"      $6,343,867","  $68,731",     92.3,23.0,      22,  95.7,  18.2,  81.8,   0.0,   0.0,"          $16,620,375.00","           1,382.2","              $12,024.58","          $17,794,713.00","           1,481.3","              $12,012.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0
Quincy: Amelio Della Chiesa Early Childhood Center,02430005,Public School,Quincy,MA,02169,PK,Quincy,02430000,Public School District,     149,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     149,      43,28.9,       0,0.0,      84,56.4, , ,     101,67.8,      52,34.9,10.7,28.9,6.7,49.0,0.0,0.0,4.7,61.7,38.3,      48,9.8,        180,11.0,100.0,      44,100.0,13.5,"     $52,801,618","  $76,182",    693.1,17.0,      11,  64.7,-,-,-,-,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Atherton Hough,02430040,Public School,Quincy,MA,02169,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      44,      40,      38,      43,      58,      42,       0,       0,       0,       0,       0,       0,       0,       0,     265,      21,7.9,      14,5.3,      67,25.3, , ,     110,41.5,      57,21.5,3.0,7.2,6.4,79.2,0.4,0.0,3.8,54.3,45.7,     152,13.0,        266,24.8,100.0,     139,100.0,10.7,"     $52,801,618","  $76,182",    693.1,33.0,      15,  45.5,  26.7,  66.7,   6.7,   0.0,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
Quincy: Atlantic Middle,02430305,Public School,Quincy,MA,02171,"06,07,08",Quincy,02430000,Public School District,       0,       0,       0,       0,       0,       0,       0,     163,     140,     182,       0,       0,       0,       0,       0,     485,     201,41.4,      50,10.3,      74,15.3, , ,     272,56.1,     163,33.6,2.5,55.3,2.7,37.5,0.4,0.2,1.4,51.1,48.9,     232,21.8,        499,33.4,100.0,     172,100.0,14.5,"     $52,801,618","  $76,182",    693.1,44.0,      23,  52.3,-,-,-,-,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
Quincy: Beechwood Knoll Elementary,02430020,Public School,Quincy,MA,02170,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      64,      52,      61,      65,      60,      67,       0,       0,       0,       0,       0,       0,       0,       0,     369,     124,33.6,      78,21.1,      26,7.0, , ,     161,43.6,      91,24.7,0.5,39.0,1.6,56.9,0.0,0.0,1.9,48.0,52.0,     148,18.3,        367,23.4,100.0,     133,100.0,15.8,"     $52,801,618","  $76,182",    693.1,30.0,      14,  46.7,  42.9,  50.0,   7.1,   0.0,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0
Quincy: Broad Meadows Middle,02430310,Public School,Quincy,MA,02169,"06,07,08",Quincy,02430000,Public School District,       0,       0,       0,       0,       0,       0,       0,     130,     104,     115,       0,       0,       0,       0,       0,     349,      68,19.5,      14,4.0,     109,31.2, , ,     199,57.0,     135,38.7,6.9,17.8,4.6,66.5,0.3,0.0,4.0,52.4,47.6,     216,16.6,        344,27.3,100.0,     157,100.0,12.8,"     $52,801,618","  $76,182",    693.1,38.0,      21,  55.3,   4.8,  85.7,   9.5,   0.0,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0
Quincy: Central Middle,02430315,Public School,Quincy,MA,02170,"06,07,08",Quincy,02430000,Public School District,       0,       0,       0,       0,       0,       0,       0,     230,     216,     195,       0,       0,       0,       0,       0,     641,     161,25.1,      18,2.8,      56,8.7, , ,     186,29.0,     136,21.2,3.4,33.1,2.2,58.8,0.0,0.3,2.2,49.1,50.9,     315,21.0,        638,40.3,99.2,     217,100.0,15.9,"     $52,801,618","  $76,182",    693.1,50.0,      27,  54.0,   0.0,  96.3,   3.7,   0.0,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
Quincy: Charles A Bernazzani Elementary,02430025,Public School,Quincy,MA,02169,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      54,      64,      56,      68,      52,      63,       0,       0,       0,       0,       0,       0,       0,       0,     357,      73,20.4,      41,11.5,      44,12.3, , ,     138,38.7,      55,15.4,1.4,19.9,3.6,67.5,0.0,0.6,7.0,53.5,46.5,     153,17.6,        355,23.3,100.0,     138,100.0,15.3,"     $52,801,618","  $76,182",    693.1,30.0,      15,  50.0,-,-,-,-,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
Quincy: Clifford H Marshall Elementary,02430055,Public School,Quincy,MA,02169,"K,01,02,03,04",Quincy,02430000,Public School District,       0,     114,     135,     116,     101,     109,       0,       0,       0,       0,       0,       0,       0,       0,       0,     575,     235,40.9,     117,20.3,      64,11.1, , ,     378,65.7,     212,36.9,8.5,41.7,7.7,37.0,0.0,1.4,3.7,55.3,44.7,     260,16.4,        569,43.4,100.0,     221,100.0,13.2,"     $52,801,618","  $76,182",    693.1,50.0,      31,  62.0,   9.7,  87.1,   3.2,   0.0,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
Quincy: Francis W Parker,02430075,Public School,Quincy,MA,02171,"K,01,02,03,04,05",Quincy,02430000,Public School District,       0,      45,      53,      56,      55,      35,      51,       0,       0,       0,       0,       0,       0,       0,       0,     295,     199,67.5,     152,51.5,      33,11.2, , ,     240,81.4,     151,51.2,2.7,72.9,2.4,19.7,0.0,0.7,1.7,56.6,43.4,     163,15.9,        299,25.0,100.0,     137,100.0,11.8,"     $52,801,618","  $76,182",    693.1,35.0,      22,  62.9,   4.5,  90.9,   4.5,   0.0,"         $132,524,270.00","           9,044.4","              $14,652.63","         $148,372,695.00","           9,260.2","              $16,022.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
