School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Plainville: Anna Ware Jackson,02380010,Public School,Plainville,MA,02762,"PK,K,01,02",Plainville,02380000,Public School District,      68,     115,     104,     105,     107,,,,,,,,,,0.0,     499,      37,   7.4,       0,   0.0,      63,  12.6, , , , ,   2.0,   4.6,   1.8,  88.6,   0.0,   0.0,   3.0,  55.1,  44.9,30.7,100.0,     134,100.0,  16.3 to 1,"      $3,032,856","  $56,164",     54.0,"           $8,024,910.69",             798.9,"              $10,044.95","           $8,518,648.04",             818.6,"              $10,406.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainville: Beatrice H Wood Elementary,02380005,Public School,Plainville,MA,02762,"03,04,05,06",Plainville,02380000,Public School District,,,,,,     122,     107,     105,,,,,,,0.0,     334,      26,   7.8,       0,   0.0,      52,  15.6, , , , ,   1.5,   3.9,   3.6,  89.2,   0.6,   0.0,   1.2,  50.3,  49.7,23.0,100.0,      85,100.0,  14.5 to 1,"      $3,032,856","  $56,164",     54.0,"           $8,024,910.69",             798.9,"              $10,044.95","           $8,518,648.04",             818.6,"              $10,406.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Cold Spring,02390005,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,,      27,      41,      35,      38,      44,      24,,,,,,,,0.0,     209,       5,   2.4,       5,   2.4,      31,  14.8, , , , ,   4.3,   0.5,   2.9,  85.2,   1.0,   1.9,   4.3,  51.7,  48.3,16.5,100.0,      56,100.0,  12.7 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Federal Furnace School,02390011,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,,      76,      91,      77,      81,      88,      71,,,,,,,,0.0,     484,       4,   0.8,       4,   0.8,      76,  15.7, , , , ,   3.7,   1.2,   2.9,  88.2,   0.4,   0.4,   3.1,  49.0,  51.0,35.5,100.0,     108,100.0,  13.6 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Hedge,02390010,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,,      23,      29,      31,      33,      43,      23,,,,,,,,0.0,     182,      12,   6.6,      10,   5.5,      43,  23.6, , , , ,   6.6,   2.7,   9.3,  72.0,   0.5,   0.5,   8.2,  58.2,  41.8,16.0,100.0,      51,100.0,  11.4 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Indian Brook,02390012,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,,     132,     116,     137,     135,     132,,,,,,,,,0.0,     652,       0,   0.0,       0,   0.0,      71,  10.9, , , , ,   0.3,   0.6,   0.2,  96.5,   0.2,   0.5,   1.8,  48.3,  51.7,38.1,100.0,     137,100.0,  17.1 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Manomet Elementary,02390015,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,,      59,      59,      55,      62,      66,      55,,,,,,,,0.0,     356,       4,   1.1,       3,   0.8,      48,  13.5, , , , ,   1.4,   2.0,   0.8,  94.9,   0.0,   0.0,   0.8,  52.5,  47.5,25.4,100.0,      86,100.0,  14.0 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Nathaniel Morton Elementary,02390030,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,       1,     104,      87,     101,      94,      93,     104,,,,,,,,0.0,     584,       6,   1.0,       3,   0.5,      91,  15.6, , , , ,   3.6,   0.9,   1.9,  90.9,   0.3,   0.0,   2.4,  51.4,  48.6,40.0,100.0,     144,100.0,  14.6 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Plymouth Commun Intermediate,02390405,Public School,Plymouth,MA,02360,"06,07,08",Plymouth,02390000,Public School District,,,,,,,      55,     373,     418,     389,,,,,0.0,"   1,235",      21,   1.7,      10,   0.8,     176,  14.3, , , , ,   3.7,   0.6,   3.3,  90.1,   0.6,   0.2,   1.4,  52.4,  47.6,94.8,98.9,     340,98.5,  13.0 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Plymouth Early Childhood Center,02390003,Public School,Plymouth,MA,02360,PK,Plymouth,02390000,Public School District,     148,,,,,,,,,,,,,,0.0,     148,       4,   2.7,       0,   0.0,      73,  49.3, , , , ,   1.4,   0.7,   0.7,  91.2,   0.0,   0.0,   6.1,  63.5,  36.5,5.5,100.0,       7,100.0,  26.9 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: Plymouth North High,02390505,Public School,Plymouth,MA,02360,"09,10,11,12",Plymouth,02390000,Public School District,,,,,,,,,,,     359,     246,     235,     203,11.0,"   1,054",      17,   1.6,       9,   0.9,     136,  12.9, , , , ,   4.9,   1.2,   4.4,  88.0,   0.5,   0.1,   0.9,  49.6,  50.4,75.2,98.7,     277,97.5,  14.0 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",       254,79.9,4.3,0.8,2.8,12.2,0.0,"   1,043",30.0,2.9,,,,,,,,,,,78.0,     114,53.0,16.0,7.0,2.0,0.0,9.0,26.0,31.0,29.0,19.0,30.7,69.3,155.0,507.0,521.0
Plymouth: Plymouth South High,02390515,Public School,Plymouth,MA,02360,"09,10,11,12",Plymouth,02390000,Public School District,,,,,,,,,,,     218,     221,     172,     198,0.0,     809,       3,   0.4,       0,   0.0,     119,  14.7, , , , ,   2.1,   0.4,   2.1,  93.9,   0.2,   0.4,   0.9,  50.1,  49.9,84.2,100.0,     344,100.0,   9.6 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",       225,85.8,1.3,0.4,3.6,8.9,0.0,     809,28.0,3.5,,,,,,,,,,,68.0,      97,48.0,15.0,2.0,2.0,1.0,9.0,33.0,33.0,19.0,3.0,43.3,56.7,135.0,491.0,495.0
Plymouth: Plymouth South Middle,02390305,Public School,Plymouth,MA,02360,"06,07,08",Plymouth,02390000,Public School District,,,,,,,     189,     170,     211,     197,,,,,0.0,     767,       5,   0.7,       0,   0.0,     128,  16.7, , , , ,   1.6,   0.4,   1.0,  94.1,   0.8,   0.3,   1.8,  52.5,  47.5,58.2,100.0,     189,100.0,  13.2 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: South Elementary,02390046,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,      38,     137,     149,     134,     130,     141,,,,,,,,,0.0,     729,       6,   0.8,       2,   0.3,     105,  14.4, , , , ,   1.5,   1.4,   1.5,  92.3,   0.5,   0.0,   2.7,  48.0,  52.0,41.2,100.0,     151,96.0,  17.7 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth: West Elementary,02390047,Public School,Plymouth,MA,02360,"K,01,02,03,04,05",Plymouth,02390000,Public School District,,      73,      74,      60,      60,      69,      53,,,,,,,,0.0,     389,       9,   2.3,       3,   0.8,      77,  19.8, , , , ,   1.8,   2.8,   1.3,  92.8,   0.0,   0.0,   1.3,  51.2,  48.8,29.9,100.0,     114,100.0,  13.0 to 1,"     $36,049,324","  $60,283",    598.0,"          $95,003,005.65","           8,293.5","              $11,455.12","         $103,785,899.65","           8,723.8","              $11,896.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plympton: Dennett Elementary,02400010,Public School,Plympton,MA,02367,"K,01,02,03,04,05,06",Plympton,02400000,Public School District,,      29,      31,      35,      26,      37,      33,      37,,,,,,,0.0,     228,       0,   0.0,       0,   0.0,      34,  14.9, , , , ,   0.9,   0.4,   0.4,  98.2,   0.0,   0.0,   0.0,  46.9,  53.1,16.2,100.0,      73,100.0,  14.1 to 1,"      $1,021,049","  $63,816",     16.0,"           $2,207,907.61",             229.7,"               $9,612.14","           $2,390,041.45",             237.1,"              $10,080.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Hill Academy Charter (District): Prospect Hill Academy Charter School,04870550,Charter School,Cambridge,MA,02139,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Prospect Hill Academy Charter (District),04870000,Charter District,,      62,      78,      75,      74,      80,      67,      73,      76,      73,      77,      65,      57,      54,0.0,     911,     355,  39.0,       9,   1.0,      61,   6.7, , , , ,  48.0,   4.1,  27.3,  15.8,   0.0,   0.0,   4.8,  47.7,  52.3,69.0,59.3,     256,100.0,  13.2 to 1,,,,,,,,,,        56,91.1,3.6,0.0,0.0,5.4,0.0,     253,5.0,2.0,,,,,,,,,,,48.0,      94,22.0,14.0,6.0,4.0,2.0,14.0,18.0,32.0,19.0,11.0,34.0,66.0,52.0,498.0,508.0
Provincetown: Provincetown Schools,02420020,Public School,Provincetown,MA,02657,"PK,K,01,02,03,04,05,06,07,08",Provincetown,02420000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $1,782,412","  $57,497",     31.0,"           $5,323,854.33",             195.8,"              $27,190.27","           $5,695,790.33",             237.3,"              $24,002.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quabbin: Hardwick Elementary,07530005,Public School,Gilbertville,MA,01031,"PK,K,01,02,03,04,05",Quabbin,07530000,Public School District,,      45,      38,      31,      35,      40,      35,      27,,,,,,,0.0,     251,       3,   1.2,       0,   0.0,      22,   8.8, , , , ,   0.8,   0.0,   2.0,  93.2,   0.0,   0.0,   4.0,  47.4,  52.6,17.4,100.0,      93,100.0,  14.4 to 1,"     $12,549,758","  $60,627",    207.0,"          $30,481,891.90","           3,180.3","               $9,584.60","          $34,309,880.30","           3,312.2","              $10,358.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quabbin: Hubbardston Center,07530010,Public School,Hubbardston,MA,01452,"PK,K,01,02,03,04,05",Quabbin,07530000,Public School District,,      57,      65,      62,      75,      74,      60,      87,,,,,,,0.0,     480,       2,   0.4,       0,   0.0,      60,  12.5, , , , ,   0.2,   0.0,   5.8,  91.3,   0.0,   0.0,   2.7,  53.8,  46.3,27.0,100.0,     139,97.1,  17.8 to 1,"     $12,549,758","  $60,627",    207.0,"          $30,481,891.90","           3,180.3","               $9,584.60","          $34,309,880.30","           3,312.2","              $10,358.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quabbin: New Braintree Grade,07530020,Public School,New Braintree,MA,01531,PK,Quabbin,07530000,Public School District,,      11,      11,      21,      10,      15,      14,      16,,,,,,,0.0,      98,       0,   0.0,       0,   0.0,      26,  26.5, , , , ,   0.0,   0.0,   2.0,  98.0,   0.0,   0.0,   0.0,  57.1,  42.9,8.0,100.0,      32,100.0,  12.3 to 1,"     $12,549,758","  $60,627",    207.0,"          $30,481,891.90","           3,180.3","               $9,584.60","          $34,309,880.30","           3,312.2","              $10,358.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quabbin: Oakham Center,07530025,Public School,Oakham,MA,01068,"K,01,02,03,04,05",Quabbin,07530000,Public School District,      80,      31,      22,      26,      24,      26,      25,      35,,,,,,,0.0,     269,       0,   0.0,       0,   0.0,      57,  21.2, , , , ,   0.7,   0.7,   3.0,  95.2,   0.0,   0.0,   0.4,  49.1,  50.9,18.5,94.6,      93,94.6,  14.5 to 1,"     $12,549,758","  $60,627",    207.0,"          $30,481,891.90","           3,180.3","               $9,584.60","          $34,309,880.30","           3,312.2","              $10,358.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quabbin: Quabbin Regional High School,07530505,Public School,Barre,MA,01005,"09,10,11,12",Quabbin,07530000,Public School District,,,,,,,,,,,     285,     272,     229,     228,1.0,"   1,015",       5,   0.5,       2,   0.2,     110,  10.8, , , , ,   1.3,   0.6,   1.7,  93.3,   0.3,   0.4,   2.5,  46.2,  53.8,64.5,95.1,     311,92.3,  15.7 to 1,"     $12,549,758","  $60,627",    207.0,"          $30,481,891.90","           3,180.3","               $9,584.60","          $34,309,880.30","           3,312.2","              $10,358.64",       261,82.8,3.4,0.0,5.0,8.8,0.0,"   1,014",21.0,2.1,,,,,,,,,,,64.0,      70,59.0,4.0,1.0,0.0,0.0,18.0,24.0,17.0,8.0,3.0,60.0,40.0,183.0,497.0,506.0
Quabbin: Quabbin Regional Middle School,07530405,Public School,Barre,MA,01005,"06,07,08",Quabbin,07530000,Public School District,,,,,,,,,     261,     279,,,,,0.0,     540,       4,   0.7,       1,   0.2,      67,  12.4, , , , ,   0.6,   1.1,   2.8,  92.4,   0.4,   0.0,   2.8,  50.0,  50.0,37.5,100.0,     185,100.0,  14.4 to 1,"     $12,549,758","  $60,627",    207.0,"          $30,481,891.90","           3,180.3","               $9,584.60","          $34,309,880.30","           3,312.2","              $10,358.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quabbin: Ruggles Lane,07530030,Public School,Barre,MA,01005,"PK,K,01,02,03,04,05",Quabbin,07530000,Public School District,,      73,      62,      74,      74,      87,      86,      75,,,,,,,0.0,     531,       1,   0.2,       0,   0.0,      62,  11.7, , , , ,   0.6,   0.8,   0.9,  95.9,   0.4,   0.0,   1.5,  51.0,  49.0,34.1,100.0,     174,96.6,  15.6 to 1,"     $12,549,758","  $60,627",    207.0,"          $30,481,891.90","           3,180.3","               $9,584.60","          $34,309,880.30","           3,312.2","              $10,358.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaboag Regional: Quaboag Integrated Preschool,07780001,Public School,Warren,MA,01083,PK,Quaboag Regional,07780000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $6,309,442","  $67,843",     93.0,"          $14,845,173.00","           1,444.1","              $10,279.88","          $15,878,276.00","           1,569.9","              $10,114.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaboag Regional: Quaboag Regional High,07780505,Public School,Warren,MA,01083,"09,10,11,12",Quaboag Regional,07780000,Public School District,,,,,,,,,     128,     121,     108,      90,      91,     101,0.0,     639,       0,   0.0,       0,   0.0,      88,  13.8, , , , ,   0.6,   0.3,   3.3,  93.9,   0.2,   0.0,   1.7,  51.0,  49.0,48.9,95.5,     185,96.8,  13.1 to 1,"      $6,309,442","  $67,843",     93.0,"          $14,845,173.00","           1,444.1","              $10,279.88","          $15,878,276.00","           1,569.9","              $10,114.20",       108,75.0,6.5,0.0,6.5,12.0,0.0,     390,13.0,3.3,,,,,,,,,,,33.0,      38,28.0,5.0,0.0,0.0,0.0,3.0,10.0,20.0,3.0,2.0,34.2,65.8,52.0,476.0,487.0
Quaboag Regional: Quaboag Regional Middle Innovation School,07780305,Public School,Warren,MA,01083,"07,08",Quaboag Regional,07780000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $6,309,442","  $67,843",     93.0,"          $14,845,173.00","           1,444.1","              $10,279.88","          $15,878,276.00","           1,569.9","              $10,114.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaboag Regional: Warren Elementary,07780005,Public School,West Warren,MA,01092,"K,01,02,03,04,05,06",Quaboag Regional,07780000,Public School District,      27,      70,      71,      61,      58,      62,      68,      57,,,,,,,0.0,     474,       4,   0.8,       0,   0.0,      96,  20.3, , , , ,   0.6,   0.2,   2.1,  94.3,   0.0,   0.0,   2.7,  52.1,  47.9,24.0,100.0,     116,100.0,  19.8 to 1,"      $6,309,442","  $67,843",     93.0,"          $14,845,173.00","           1,444.1","              $10,279.88","          $15,878,276.00","           1,569.9","              $10,114.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaboag Regional: West Brookfield Elementary,07780010,Public School,West Brookfield,MA,01585,"K,01,02,03,04,05,06",Quaboag Regional,07780000,Public School District,       6,      44,      42,      45,      53,      38,      50,      45,,,,,,,0.0,     323,       0,   0.0,       0,   0.0,      43,  13.3, , , , ,   0.3,   0.0,   2.8,  94.1,   0.0,   0.0,   2.8,  52.0,  48.0,20.0,100.0,      86,100.0,  16.2 to 1,"      $6,309,442","  $67,843",     93.0,"          $14,845,173.00","           1,444.1","              $10,279.88","          $15,878,276.00","           1,569.9","              $10,114.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Amelio Della Chiesa Early Childhood Center,02430005,Public School,Quincy,MA,02169,PK,Quincy,02430000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Atherton Hough,02430040,Public School,Quincy,MA,02169,"K,01,02,03,04,05",Quincy,02430000,Public School District,,      37,      46,      39,      26,      37,      39,,,,,,,,0.0,     224,      16,   7.1,       3,   1.3,      43,  19.2, , , , ,   2.7,   7.1,   4.5,  83.0,   0.0,   0.4,   2.2,  50.9,  49.1,17.2,100.0,     107,100.0,  13.0 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Atlantic Middle,02430305,Public School,Quincy,MA,02171,"06,07,08",Quincy,02430000,Public School District,,,,,,,,     145,     162,     187,,,,,0.0,     494,     237,  48.0,      57,  11.5,      81,  16.4, , , , ,   2.2,  46.6,   2.8,  47.0,   0.2,   0.0,   1.2,  53.2,  46.8,42.5,93.0,     232,87.1,  11.6 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Beechwood Knoll Elementary,02430020,Public School,Quincy,MA,02170,"K,01,02,03,04,05",Quincy,02430000,Public School District,,      49,      63,      63,      51,      62,      75,,,,,,,,0.0,     363,      85,  23.4,      69,  19.0,      40,  11.0, , , , ,   0.6,  22.0,   1.1,  74.1,   0.8,   0.0,   1.4,  48.5,  51.5,21.4,100.0,     137,100.0,  17.0 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Broad Meadows Middle,02430310,Public School,Quincy,MA,02169,"06,07,08",Quincy,02430000,Public School District,,,,,,,,     117,     103,      96,,,,,0.0,     316,      47,  14.9,      10,   3.2,      72,  22.8, , , , ,   6.3,  17.7,   4.1,  69.6,   0.0,   0.0,   2.2,  48.4,  51.6,31.5,100.0,     173,100.0,  10.0 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Central Middle,02430315,Public School,Quincy,MA,02170,"06,07,08",Quincy,02430000,Public School District,,,,,,,,     195,     202,     196,,,,,0.0,     593,     158,  26.6,      16,   2.7,      60,  10.1, , , , ,   2.5,  31.2,   1.5,  63.7,   0.3,   0.2,   0.5,  51.1,  48.9,39.0,91.7,     217,98.2,  15.2 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Charles A Bernazzani Elementary,02430025,Public School,Quincy,MA,02169,"K,01,02,03,04,05",Quincy,02430000,Public School District,,      50,      62,      63,      61,      55,      57,,,,,,,,0.0,     348,      34,   9.8,      18,   5.2,      39,  11.2, , , , ,   1.7,  14.4,   2.6,  79.3,   0.0,   0.0,   2.0,  50.6,  49.4,22.7,95.6,     147,96.6,  15.3 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Clifford H Marshall Elementary,02430055,Public School,Quincy,MA,02169,"K,01,02,03,04",Quincy,02430000,Public School District,,     103,     100,      78,      98,      83,,,,,,,,,0.0,     462,     113,  24.5,      77,  16.7,      61,  13.2, , , , ,   8.4,  30.5,   6.1,  51.1,   0.4,   0.2,   3.2,  49.8,  50.2,39.9,87.5,     245,87.8,  11.6 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Francis W Parker,02430075,Public School,Quincy,MA,02171,"K,01,02,03,04,05",Quincy,02430000,Public School District,,      41,      63,      37,      61,      53,      33,,,,,,,,0.0,     288,     191,  66.3,     151,  52.4,      35,  12.2, , , , ,   2.1,  67.4,   2.1,  28.1,   0.0,   0.0,   0.3,  52.8,  47.2,24.4,91.8,     159,93.7,  11.8 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Lincoln-Hancock Community School,02430035,Public School,Quincy,MA,02169,"K,01,02,03,04",Quincy,02430000,Public School District,      79,     104,      99,      69,      91,      69,      76,,,,,,,,0.0,     587,     173,  29.5,      73,  12.4,     104,  17.7, , , , ,   8.2,  23.0,  11.4,  52.8,   0.3,   0.0,   4.3,  57.2,  42.8,45.9,89.2,     281,90.7,  12.8 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Merrymount,02430060,Public School,Quincy,MA,02169,"K,01,02,03,04,05",Quincy,02430000,Public School District,,      45,      55,      50,      38,      63,      57,,,,,,,,0.0,     308,      37,  12.0,      35,  11.4,      51,  16.6, , , , ,   4.2,  11.4,   4.2,  79.2,   0.0,   0.0,   1.0,  56.2,  43.8,20.3,100.0,     127,99.2,  15.2 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: Montclair,02430065,Public School,Quincy,MA,02171,"K,01,02,03,04,05",Quincy,02430000,Public School District,,      49,      75,      63,      55,      34,      61,,,,,,,,0.0,     337,     168,  49.9,     151,  44.8,      25,   7.4, , , , ,   3.0,  52.5,   5.9,  37.4,   0.0,   0.3,   0.9,  49.6,  50.4,25.1,92.1,     156,91.0,  13.4 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy: North Quincy High,02430510,Public School,Quincy,MA,02171,"09,10,11,12",Quincy,02430000,Public School District,,,,,,,,,,,     388,     391,     351,     362,2.0,"   1,494",     339,  22.7,       0,   0.0,     187,  12.5, , , , ,   3.4,  35.5,   2.3,  58.4,   0.3,   0.0,   0.1,  50.8,  49.2,111.6,92.0,     472,94.5,  13.4 to 1,"     $45,831,543","  $64,825",    707.0,"         $105,847,640.90","           8,881.0","              $11,918.44","         $116,953,635.90","           9,034.4","              $12,945.37",       367,92.4,3.0,0.3,0.5,3.8,0.0,"   1,492",19.0,1.3,,,,,,,,,,,139.0,     292,53.0,50.0,18.0,7.0,11.0,47.0,45.0,90.0,70.0,40.0,31.5,68.5,278.0,489.0,526.0
